nm;A
600.000000;0.032398
599.000000;0.032620
598.000000;0.032367
597.000000;0.032504
596.000000;0.032538
595.000000;0.032457
594.000000;0.032746
593.000000;0.032555
592.000000;0.032657
591.000000;0.032396
590.000000;0.032288
589.000000;0.032689
588.000000;0.032413
587.000000;0.032649
586.000000;0.032673
585.000000;0.032960
584.000000;0.033095
583.000000;0.032798
582.000000;0.032747
581.000000;0.032669
580.000000;0.032907
579.000000;0.032844
578.000000;0.033185
577.000000;0.033307
576.000000;0.033226
575.000000;0.033117
574.000000;0.033505
573.000000;0.033242
572.000000;0.033175
571.000000;0.033276
570.000000;0.033481
569.000000;0.033722
568.000000;0.033349
567.000000;0.033408
566.000000;0.033728
565.000000;0.033761
564.000000;0.033783
563.000000;0.033710
562.000000;0.033848
561.000000;0.034162
560.000000;0.034094
559.000000;0.034301
558.000000;0.034373
557.000000;0.034532
556.000000;0.034545
555.000000;0.034563
554.000000;0.034679
553.000000;0.034998
552.000000;0.035027
551.000000;0.035071
550.000000;0.035353
549.000000;0.035468
548.000000;0.035454
547.000000;0.035613
546.000000;0.035846
545.000000;0.035884
544.000000;0.036208
543.000000;0.036513
542.000000;0.036591
541.000000;0.036776
540.000000;0.036945
539.000000;0.037291
538.000000;0.037446
537.000000;0.037703
536.000000;0.037994
535.000000;0.038284
534.000000;0.038526
533.000000;0.039098
532.000000;0.039113
531.000000;0.039345
530.000000;0.039717
529.000000;0.040059
528.000000;0.040549
527.000000;0.040971
526.000000;0.041316
525.000000;0.041665
524.000000;0.042144
523.000000;0.042514
522.000000;0.043197
521.000000;0.043608
520.000000;0.044092
519.000000;0.044519
518.000000;0.045063
517.000000;0.045744
516.000000;0.046404
515.000000;0.047024
514.000000;0.047628
513.000000;0.048266
512.000000;0.048920
511.000000;0.049590
510.000000;0.050466
509.000000;0.051197
508.000000;0.052090
507.000000;0.052851
506.000000;0.053480
505.000000;0.054439
504.000000;0.055227
503.000000;0.056132
502.000000;0.057015
501.000000;0.057919
500.000000;0.058854
499.000000;0.060011
498.000000;0.061282
497.000000;0.062359
496.000000;0.063375
495.000000;0.064327
494.000000;0.065461
493.000000;0.066627
492.000000;0.067757
491.000000;0.068994
490.000000;0.070280
489.000000;0.071450
488.000000;0.072854
487.000000;0.074354
486.000000;0.075607
485.000000;0.077120
484.000000;0.078395
483.000000;0.079660
482.000000;0.081127
481.000000;0.082549
480.000000;0.083977
479.000000;0.085446
478.000000;0.086857
477.000000;0.088431
476.000000;0.089924
475.000000;0.091140
474.000000;0.092623
473.000000;0.094081
472.000000;0.095333
471.000000;0.096822
470.000000;0.098362
469.000000;0.099696
468.000000;0.100938
467.000000;0.102217
466.000000;0.103679
465.000000;0.104995
464.000000;0.106113
463.000000;0.107343
462.000000;0.108583
461.000000;0.109694
460.000000;0.110562
459.000000;0.111728
458.000000;0.112772
457.000000;0.113656
456.000000;0.114606
455.000000;0.115309
454.000000;0.116024
453.000000;0.116810
452.000000;0.117223
451.000000;0.117380
450.000000;0.118088
449.000000;0.118707
448.000000;0.118893
447.000000;0.118904
446.000000;0.119170
445.000000;0.119343
444.000000;0.119129
443.000000;0.118925
442.000000;0.118675
441.000000;0.118269
440.000000;0.117768
439.000000;0.117235
438.000000;0.116678
437.000000;0.115938
436.000000;0.115314
435.000000;0.114525
434.000000;0.113494
433.000000;0.112573
432.000000;0.111475
431.000000;0.110220
430.000000;0.109112
429.000000;0.108042
428.000000;0.106559
427.000000;0.105042
426.000000;0.103629
425.000000;0.101992
424.000000;0.100459
423.000000;0.099073
422.000000;0.097425
421.000000;0.095504
420.000000;0.093966
419.000000;0.092446
418.000000;0.090900
417.000000;0.089287
416.000000;0.087547
415.000000;0.085852
414.000000;0.084426
413.000000;0.082682
412.000000;0.081201
411.000000;0.079721
410.000000;0.078072
409.000000;0.076490
408.000000;0.074982
407.000000;0.073932
406.000000;0.072559
405.000000;0.071348
404.000000;0.070677
403.000000;0.069471
402.000000;0.068163
401.000000;0.067652
400.000000;0.066621
399.000000;0.065759
398.000000;0.065026
397.000000;0.064186
396.000000;0.063510
395.000000;0.063314
394.000000;0.063108
393.000000;0.062609
392.000000;0.062741
391.000000;0.063264
390.000000;0.063189
389.000000;0.063036
388.000000;0.063443
387.000000;0.063950
386.000000;0.064488
385.000000;0.064887
384.000000;0.065417
383.000000;0.066495
382.000000;0.067270
381.000000;0.067782
380.000000;0.068646
379.000000;0.069383
378.000000;0.069732
377.000000;0.070407
376.000000;0.071750
375.000000;0.072227
374.000000;0.072040
373.000000;0.072320
372.000000;0.072679
371.000000;0.072873
370.000000;0.073645
369.000000;0.074526
368.000000;0.074521
367.000000;0.075427
366.000000;0.076921
365.000000;0.077466
364.000000;0.079000
363.000000;0.079750
362.000000;0.080627
361.000000;0.081805
360.000000;0.083450
359.000000;0.084820
