nm;A
650.000000;0.022423
649.000000;0.021423
648.000000;0.011777
647.000000;0.015772
646.000000;0.025610
645.000000;0.022528
644.000000;0.023838
643.000000;0.024884
642.000000;0.031287
641.000000;0.025479
640.000000;0.018619
639.000000;0.024483
638.000000;0.015811
637.000000;0.018496
636.000000;0.012557
635.000000;0.022144
634.000000;0.023646
633.000000;0.014197
632.000000;0.016490
631.000000;0.026910
630.000000;0.022353
629.000000;0.015572
628.000000;0.020305
627.000000;0.024255
626.000000;0.018109
625.000000;0.015775
624.000000;0.022753
623.000000;0.016579
622.000000;0.014136
621.000000;0.016445
620.000000;0.023959
619.000000;0.015289
618.000000;0.016070
617.000000;0.015969
616.000000;0.018333
615.000000;0.016516
614.000000;0.015119
613.000000;0.019756
612.000000;0.023263
611.000000;0.016312
610.000000;0.015150
609.000000;0.022755
608.000000;0.020798
607.000000;0.015112
606.000000;0.017643
605.000000;0.023044
604.000000;0.024117
603.000000;0.018546
602.000000;0.026033
601.000000;0.023047
600.000000;0.016179
599.000000;0.016714
598.000000;0.022804
597.000000;0.023418
596.000000;0.021733
595.000000;0.019551
594.000000;0.025186
593.000000;0.017271
592.000000;0.024011
591.000000;0.023227
590.000000;0.021460
589.000000;0.016749
588.000000;0.018120
587.000000;0.017705
586.000000;0.019589
585.000000;0.021776
584.000000;0.021587
583.000000;0.022701
582.000000;0.023746
581.000000;0.020863
580.000000;0.017153
579.000000;0.019995
578.000000;0.022061
577.000000;0.020914
576.000000;0.020250
575.000000;0.023265
574.000000;0.026265
573.000000;0.027319
572.000000;0.023547
571.000000;0.017238
570.000000;0.019333
569.000000;0.019091
568.000000;0.023785
567.000000;0.029454
566.000000;0.030033
565.000000;0.025005
564.000000;0.022453
563.000000;0.027143
562.000000;0.025226
561.000000;0.028544
560.000000;0.027956
559.000000;0.028603
558.000000;0.032735
557.000000;0.028784
556.000000;0.026579
555.000000;0.025559
554.000000;0.029219
553.000000;0.030595
552.000000;0.027818
551.000000;0.031174
550.000000;0.033817
549.000000;0.034485
548.000000;0.031017
547.000000;0.031910
546.000000;0.032170
545.000000;0.030285
544.000000;0.032114
543.000000;0.033159
542.000000;0.033189
541.000000;0.034890
540.000000;0.035402
539.000000;0.035716
538.000000;0.034862
537.000000;0.036710
536.000000;0.037686
535.000000;0.040200
534.000000;0.036478
533.000000;0.035763
532.000000;0.037823
531.000000;0.037894
530.000000;0.039710
529.000000;0.039905
528.000000;0.039787
527.000000;0.040285
526.000000;0.041557
525.000000;0.044797
524.000000;0.046018
523.000000;0.046898
522.000000;0.044885
521.000000;0.043088
520.000000;0.045178
519.000000;0.049793
518.000000;0.052696
517.000000;0.052298
516.000000;0.052106
515.000000;0.051953
514.000000;0.051217
513.000000;0.050928
512.000000;0.054940
511.000000;0.057656
510.000000;0.057559
509.000000;0.059260
508.000000;0.060377
507.000000;0.058762
506.000000;0.061466
505.000000;0.064363
504.000000;0.066321
