nm;A
650.000000;0.019656
649.000000;0.018808
648.000000;0.006431
647.000000;0.009753
646.000000;0.020919
645.000000;0.015055
644.000000;0.016929
643.000000;0.018484
642.000000;0.016427
641.000000;0.018507
640.000000;0.009333
639.000000;0.015433
638.000000;0.008496
637.000000;0.018786
636.000000;0.010292
635.000000;0.015540
634.000000;0.017861
633.000000;0.014068
632.000000;0.015553
631.000000;0.010823
630.000000;0.009110
629.000000;0.010240
628.000000;0.015566
627.000000;0.013051
626.000000;0.013588
625.000000;0.014540
624.000000;0.014448
623.000000;0.009703
622.000000;0.008236
621.000000;0.006414
620.000000;0.012156
619.000000;0.010138
618.000000;0.011038
617.000000;0.013568
616.000000;0.009996
615.000000;0.008006
614.000000;0.012933
613.000000;0.019369
612.000000;0.013387
611.000000;0.008086
610.000000;0.011807
609.000000;0.013317
608.000000;0.009708
607.000000;0.008936
606.000000;0.010130
605.000000;0.014535
604.000000;0.012718
603.000000;0.008670
602.000000;0.012801
601.000000;0.015886
600.000000;0.002047
599.000000;0.005892
598.000000;0.015074
597.000000;0.014638
596.000000;0.012008
595.000000;0.011214
594.000000;0.012942
593.000000;0.011870
592.000000;0.011343
591.000000;0.010710
590.000000;0.016318
589.000000;0.012637
588.000000;0.006238
587.000000;0.007993
586.000000;0.014425
585.000000;0.012663
584.000000;0.006658
583.000000;0.014797
582.000000;0.015402
581.000000;0.010419
580.000000;0.004499
579.000000;0.012637
578.000000;0.016210
577.000000;0.009735
576.000000;0.010712
575.000000;0.015927
574.000000;0.015812
573.000000;0.014890
572.000000;0.016157
571.000000;0.011192
570.000000;0.011732
569.000000;0.010566
568.000000;0.012809
567.000000;0.018237
566.000000;0.013148
565.000000;0.010939
564.000000;0.018191
563.000000;0.023284
562.000000;0.020732
561.000000;0.018681
560.000000;0.017198
559.000000;0.019130
558.000000;0.023377
557.000000;0.021534
556.000000;0.017538
555.000000;0.016317
554.000000;0.022311
553.000000;0.023842
552.000000;0.018073
551.000000;0.018820
550.000000;0.022161
549.000000;0.021839
548.000000;0.017542
547.000000;0.018085
546.000000;0.022393
545.000000;0.020140
544.000000;0.022194
543.000000;0.024499
542.000000;0.025624
541.000000;0.026215
540.000000;0.026083
539.000000;0.027082
538.000000;0.026334
537.000000;0.024173
536.000000;0.024217
535.000000;0.028435
534.000000;0.027365
533.000000;0.023548
532.000000;0.024991
531.000000;0.028735
530.000000;0.028959
529.000000;0.027574
528.000000;0.026932
527.000000;0.029440
526.000000;0.028954
525.000000;0.031882
524.000000;0.035977
523.000000;0.035400
522.000000;0.035222
521.000000;0.034424
520.000000;0.035368
519.000000;0.037304
518.000000;0.038521
517.000000;0.038205
516.000000;0.039178
515.000000;0.039756
514.000000;0.040121
513.000000;0.040764
512.000000;0.041531
511.000000;0.043931
510.000000;0.046374
509.000000;0.045498
508.000000;0.045995
507.000000;0.047910
506.000000;0.049264
505.000000;0.050247
504.000000;0.051526
503.000000;0.055930
502.000000;0.058933
501.000000;0.059683
500.000000;0.060991
499.000000;0.063340
498.000000;0.064727
497.000000;0.068274
496.000000;0.070499
495.000000;0.071763
494.000000;0.073152
493.000000;0.073741
492.000000;0.075172
491.000000;0.077846
490.000000;0.080579
489.000000;0.079143
488.000000;0.084844
487.000000;0.091361
486.000000;0.089958
485.000000;0.090072
484.000000;0.096152
483.000000;0.099609
482.000000;0.099101
481.000000;0.103770
480.000000;0.107958
479.000000;0.108617
478.000000;0.107933
477.000000;0.109800
476.000000;0.115136
475.000000;0.119421
474.000000;0.119289
473.000000;0.121177
472.000000;0.128685
471.000000;0.128832
470.000000;0.128665
469.000000;0.131230
468.000000;0.134486
467.000000;0.137175
466.000000;0.139156
465.000000;0.142831
464.000000;0.145815
463.000000;0.146708
462.000000;0.145932
461.000000;0.151637
460.000000;0.155754
459.000000;0.152823
458.000000;0.157608
457.000000;0.163761
456.000000;0.158285
455.000000;0.160629
454.000000;0.165314
453.000000;0.162467
452.000000;0.158900
451.000000;0.163081
450.000000;0.169515
449.000000;0.167204
448.000000;0.162827
447.000000;0.162249
446.000000;0.165478
445.000000;0.163207
444.000000;0.159532
443.000000;0.162687
442.000000;0.166857
441.000000;0.155467
440.000000;0.152347
439.000000;0.161966
438.000000;0.162600
437.000000;0.156317
436.000000;0.149333
435.000000;0.149217
434.000000;0.149310
433.000000;0.142172
432.000000;0.146888
431.000000;0.148735
430.000000;0.147914
429.000000;0.142001
428.000000;0.141498
427.000000;0.138718
426.000000;0.132198
425.000000;0.132609
424.000000;0.134381
423.000000;0.120900
422.000000;0.112059
421.000000;0.111583
420.000000;0.120359
419.000000;0.110592
418.000000;0.110384
417.000000;0.110701
416.000000;0.113401
415.000000;0.104096
414.000000;0.094962
413.000000;0.099810
412.000000;0.096701
411.000000;0.095250
410.000000;0.089625
409.000000;0.094679
408.000000;0.095819
407.000000;0.085317
406.000000;0.086655
405.000000;0.084339
404.000000;0.079852
403.000000;0.078058
402.000000;0.078086
401.000000;0.084917
400.000000;0.069083
399.000000;0.072632
398.000000;0.081842
397.000000;0.085584
396.000000;0.080025
395.000000;0.082588
394.000000;0.082134
393.000000;0.077685
392.000000;0.069209
391.000000;0.072622
390.000000;0.085221
389.000000;0.085771
388.000000;0.084272
387.000000;0.083785
386.000000;0.088275
385.000000;0.086191
384.000000;0.087080
383.000000;0.092612
382.000000;0.093294
381.000000;0.096094
380.000000;0.102280
379.000000;0.104576
378.000000;0.103013
377.000000;0.069085
376.000000;0.084611
375.000000;0.129312
374.000000;0.115139
373.000000;0.114316
372.000000;0.097955
371.000000;0.092473
370.000000;0.080474
369.000000;0.095750
368.000000;0.100287
367.000000;0.113961
366.000000;0.093601
365.000000;0.108497
364.000000;0.131874
363.000000;0.120317
362.000000;0.115808
361.000000;0.107569
360.000000;0.132623
359.000000;0.131715
358.000000;0.119514
357.000000;0.154474
356.000000;0.166504
355.000000;0.142696
354.000000;0.133033
353.000000;0.175097
352.000000;0.182415
351.000000;0.156272
350.000000;0.171327
349.000000;0.191350
348.000000;0.196962
347.000000;0.186596
346.000000;0.228792
345.000000;0.252749
344.000000;0.231615
343.000000;0.221272
342.000000;0.262810
341.000000;0.302795
340.000000;0.276082
339.000000;0.282515
338.000000;0.322816
337.000000;0.346128
336.000000;0.318311
335.000000;0.345235
334.000000;0.405853
333.000000;0.385392
332.000000;0.329657
331.000000;0.420730
330.000000;0.465656
329.000000;0.440088
328.000000;0.410303
327.000000;0.499286
326.000000;0.567054
325.000000;0.513952
324.000000;0.472943
323.000000;0.572410
322.000000;0.625086
321.000000;0.528283
320.000000;0.585843
319.000000;0.573573
318.000000;0.619750
317.000000;0.715763
316.000000;0.709388
315.000000;0.652004
314.000000;0.716072
313.000000;0.774730
312.000000;0.782223
311.000000;0.768318
310.000000;0.782807
309.000000;0.810935
308.000000;0.798239
307.000000;0.801744
306.000000;0.840725
305.000000;0.836110
304.000000;0.844131
303.000000;0.840591
302.000000;0.877773
301.000000;0.855362
300.000000;0.842327
299.000000;0.853812
298.000000;0.903201
297.000000;0.853169
296.000000;0.860354
295.000000;0.871842
294.000000;0.863777
293.000000;0.836925
292.000000;0.823985
291.000000;0.812992
290.000000;0.827692
289.000000;0.802924
288.000000;0.791215
287.000000;0.814735
286.000000;0.796219
285.000000;0.792536
284.000000;0.810048
283.000000;0.817978
282.000000;0.829498
281.000000;0.856332
280.000000;0.882779
279.000000;0.909824
278.000000;0.920247
277.000000;0.902403
276.000000;0.898206
275.000000;0.895141
274.000000;0.907722
273.000000;0.934546
272.000000;0.972921
271.000000;0.982732
270.000000;0.977812
