nm;A
650.000000;-0.000500
649.000000;-0.004304
648.000000;-0.004185
647.000000;-0.007546
646.000000;-0.001973
645.000000;-0.008948
644.000000;-0.002480
643.000000;-0.002066
642.000000;-0.002491
641.000000;-0.007477
640.000000;-0.013026
639.000000;0.001792
638.000000;-0.000902
637.000000;-0.007799
636.000000;-0.009899
635.000000;-0.008380
634.000000;-0.001826
633.000000;-0.017344
632.000000;-0.010495
631.000000;-0.004153
630.000000;-0.010130
629.000000;-0.010442
628.000000;-0.011309
627.000000;-0.005076
626.000000;-0.004449
625.000000;-0.010105
624.000000;-0.003208
623.000000;-0.005707
622.000000;-0.009631
621.000000;-0.012848
620.000000;-0.000615
619.000000;-0.002886
618.000000;-0.013582
617.000000;-0.009443
616.000000;-0.004677
615.000000;-0.006497
614.000000;-0.007202
613.000000;-0.003187
612.000000;-0.001904
611.000000;-0.008600
610.000000;-0.008387
609.000000;-0.006210
608.000000;-0.010247
607.000000;-0.013277
606.000000;-0.007458
605.000000;-0.005982
604.000000;-0.005779
603.000000;-0.008505
602.000000;-0.003548
601.000000;-0.005468
600.000000;-0.013321
599.000000;-0.013002
598.000000;-0.008999
597.000000;-0.005957
596.000000;-0.006431
595.000000;-0.010772
594.000000;-0.003959
593.000000;-0.011070
592.000000;-0.007808
591.000000;-0.005293
590.000000;-0.006174
589.000000;-0.013128
588.000000;-0.011833
587.000000;-0.009172
586.000000;-0.008186
585.000000;-0.008971
584.000000;-0.010613
583.000000;-0.005383
582.000000;-0.007371
581.000000;-0.008291
580.000000;-0.005882
579.000000;-0.007114
578.000000;-0.007921
577.000000;-0.007671
576.000000;-0.007859
575.000000;-0.004700
574.000000;-0.003675
573.000000;-0.003652
572.000000;-0.010186
571.000000;-0.012796
570.000000;-0.006577
569.000000;-0.007645
568.000000;-0.008626
567.000000;-0.007822
566.000000;-0.002886
565.000000;-0.005113
564.000000;-0.006506
563.000000;-0.005180
562.000000;-0.001203
561.000000;-0.000277
560.000000;-0.001132
559.000000;-0.001019
558.000000;0.004180
557.000000;0.000762
556.000000;-0.003551
555.000000;-0.002581
554.000000;0.004785
553.000000;0.005473
552.000000;0.002159
551.000000;0.001931
550.000000;0.005556
549.000000;0.005113
548.000000;0.005392
547.000000;0.006458
546.000000;0.004148
545.000000;0.002942
544.000000;0.003756
543.000000;0.006498
542.000000;0.007096
541.000000;0.006833
540.000000;0.006567
539.000000;0.008530
538.000000;0.006783
537.000000;0.005422
536.000000;0.006244
535.000000;0.008594
534.000000;0.005908
533.000000;0.006649
532.000000;0.008874
531.000000;0.009000
530.000000;0.007488
529.000000;0.008294
528.000000;0.010504
527.000000;0.009067
526.000000;0.007472
525.000000;0.011298
524.000000;0.015470
523.000000;0.012698
522.000000;0.011915
521.000000;0.013944
520.000000;0.013178
519.000000;0.013176
518.000000;0.014828
517.000000;0.016689
516.000000;0.015758
515.000000;0.014312
514.000000;0.015772
513.000000;0.016989
