nm;A
650.000000;0.000421
649.000000;0.000650
648.000000;0.001565
647.000000;0.000692
646.000000;0.001184
645.000000;0.000666
644.000000;0.000878
643.000000;0.000867
642.000000;0.001280
641.000000;0.000904
640.000000;0.001160
639.000000;0.000987
638.000000;0.001274
637.000000;0.001124
636.000000;0.000997
635.000000;0.001226
634.000000;0.000861
633.000000;0.001000
632.000000;0.000789
631.000000;0.001040
630.000000;0.001422
629.000000;0.001333
628.000000;0.001286
627.000000;0.001504
626.000000;0.001620
625.000000;0.001101
624.000000;0.001173
623.000000;0.001440
622.000000;0.001425
621.000000;0.001276
620.000000;0.001392
619.000000;0.001731
618.000000;0.001608
617.000000;0.001872
616.000000;0.001655
615.000000;0.001644
614.000000;0.001677
613.000000;0.001661
612.000000;0.001807
611.000000;0.001619
610.000000;0.002042
609.000000;0.001769
608.000000;0.001932
607.000000;0.002378
606.000000;0.002178
605.000000;0.002308
604.000000;0.002435
603.000000;0.002372
602.000000;0.002345
601.000000;0.002599
600.000000;0.002246
599.000000;0.002475
598.000000;0.002812
597.000000;0.002412
596.000000;0.002685
595.000000;0.002732
594.000000;0.002724
593.000000;0.002776
592.000000;0.003080
591.000000;0.003142
590.000000;0.003368
589.000000;0.003493
588.000000;0.003651
587.000000;0.003791
586.000000;0.003792
585.000000;0.003944
584.000000;0.004203
583.000000;0.004253
582.000000;0.004458
581.000000;0.004522
580.000000;0.004687
579.000000;0.005189
578.000000;0.005313
577.000000;0.005607
576.000000;0.005619
575.000000;0.005702
574.000000;0.006007
573.000000;0.006271
572.000000;0.006571
571.000000;0.006737
570.000000;0.006952
569.000000;0.007141
568.000000;0.007516
567.000000;0.007694
566.000000;0.008110
565.000000;0.008569
564.000000;0.008959
563.000000;0.009263
562.000000;0.009772
561.000000;0.010340
560.000000;0.010552
559.000000;0.011018
558.000000;0.011612
557.000000;0.011876
556.000000;0.012634
555.000000;0.013203
554.000000;0.013694
553.000000;0.014128
552.000000;0.014872
551.000000;0.015475
550.000000;0.016046
549.000000;0.016907
548.000000;0.017645
547.000000;0.018598
546.000000;0.019389
545.000000;0.020098
544.000000;0.020707
543.000000;0.021878
542.000000;0.022959
541.000000;0.023993
540.000000;0.025146
539.000000;0.026170
538.000000;0.027271
537.000000;0.028591
536.000000;0.029813
535.000000;0.031028
534.000000;0.032512
533.000000;0.033852
532.000000;0.035382
531.000000;0.037040
530.000000;0.038524
529.000000;0.040337
528.000000;0.042272
527.000000;0.044135
526.000000;0.046289
525.000000;0.048465
524.000000;0.050484
523.000000;0.052800
522.000000;0.055190
521.000000;0.057630
520.000000;0.060081
519.000000;0.062663
518.000000;0.065378
517.000000;0.068174
516.000000;0.071390
515.000000;0.074521
514.000000;0.077690
513.000000;0.081072
512.000000;0.084612
511.000000;0.088296
510.000000;0.092095
509.000000;0.096080
508.000000;0.100270
507.000000;0.104593
506.000000;0.108855
505.000000;0.113653
504.000000;0.118778
503.000000;0.123931
502.000000;0.129197
501.000000;0.134494
500.000000;0.140022
499.000000;0.145935
498.000000;0.152246
497.000000;0.158933
496.000000;0.165645
495.000000;0.172603
494.000000;0.179974
493.000000;0.187557
492.000000;0.195228
491.000000;0.203223
490.000000;0.211677
489.000000;0.220337
488.000000;0.229438
487.000000;0.238612
486.000000;0.248196
485.000000;0.258552
484.000000;0.268896
483.000000;0.279359
482.000000;0.290367
481.000000;0.301631
480.000000;0.312990
479.000000;0.324406
478.000000;0.336337
477.000000;0.349013
476.000000;0.361665
475.000000;0.374550
474.000000;0.387627
473.000000;0.400869
472.000000;0.414332
471.000000;0.427957
