nm;A
800.000000;-0.001216
799.000000;-0.001229
798.000000;-0.000629
797.000000;-0.001184
796.000000;-0.001912
795.000000;-0.002554
794.000000;-0.001638
793.000000;-0.001603
792.000000;-0.002848
791.000000;-0.002416
790.000000;-0.001332
789.000000;-0.001512
788.000000;-0.001171
787.000000;-0.000678
786.000000;-0.000717
785.000000;-0.002242
784.000000;-0.002201
783.000000;-0.002178
782.000000;-0.002595
781.000000;-0.002075
780.000000;-0.001537
779.000000;-0.001322
778.000000;-0.001846
777.000000;-0.001130
776.000000;-0.001252
775.000000;-0.001317
774.000000;-0.001539
773.000000;-0.002155
772.000000;-0.001428
771.000000;-0.002283
770.000000;-0.002135
769.000000;-0.001237
768.000000;-0.001882
767.000000;-0.001502
766.000000;-0.001878
765.000000;-0.001555
764.000000;-0.001865
763.000000;-0.001993
762.000000;-0.001717
761.000000;-0.002605
760.000000;-0.001859
759.000000;-0.001247
758.000000;-0.001841
757.000000;-0.001560
756.000000;-0.001254
755.000000;-0.001991
754.000000;-0.001674
753.000000;-0.001863
752.000000;-0.001264
751.000000;-0.001109
750.000000;-0.001528
749.000000;-0.001565
748.000000;-0.001571
747.000000;-0.001521
746.000000;-0.000994
745.000000;-0.001403
744.000000;-0.001358
743.000000;-0.001770
742.000000;-0.001880
741.000000;-0.001982
740.000000;-0.001748
739.000000;-0.001388
738.000000;-0.001121
737.000000;-0.001615
736.000000;-0.001069
735.000000;-0.001277
734.000000;-0.001572
733.000000;-0.001703
732.000000;-0.001463
731.000000;-0.001063
730.000000;-0.001141
729.000000;-0.000964
728.000000;-0.001743
727.000000;-0.001807
726.000000;-0.001568
725.000000;-0.001311
724.000000;-0.001539
723.000000;-0.001481
722.000000;-0.001409
721.000000;-0.001539
720.000000;-0.001378
719.000000;-0.001361
718.000000;-0.001453
717.000000;-0.001577
716.000000;-0.000969
715.000000;-0.000825
714.000000;-0.000812
713.000000;-0.000876
712.000000;-0.001698
711.000000;-0.001690
710.000000;-0.001887
709.000000;-0.001904
708.000000;-0.001475
707.000000;-0.001680
706.000000;-0.001404
705.000000;-0.001062
704.000000;-0.001111
703.000000;-0.001261
702.000000;-0.001081
701.000000;-0.001099
700.000000;-0.001317
699.000000;-0.001162
698.000000;-0.001398
697.000000;-0.001751
696.000000;-0.001511
695.000000;-0.001185
694.000000;-0.001193
693.000000;-0.001401
692.000000;-0.001582
691.000000;-0.001489
690.000000;-0.001449
689.000000;-0.001391
688.000000;-0.001248
687.000000;-0.001341
686.000000;-0.001242
685.000000;-0.001426
684.000000;-0.001524
683.000000;-0.001057
682.000000;-0.001277
681.000000;-0.001503
680.000000;-0.001361
679.000000;-0.001164
678.000000;-0.001100
677.000000;-0.001040
676.000000;-0.001279
675.000000;-0.001115
674.000000;-0.000952
673.000000;-0.000979
672.000000;-0.001172
671.000000;-0.001174
670.000000;-0.001038
669.000000;-0.001214
668.000000;-0.001199
667.000000;-0.000901
666.000000;-0.000777
665.000000;-0.000707
664.000000;-0.000949
663.000000;-0.000821
662.000000;-0.000766
661.000000;-0.000882
660.000000;-0.000796
659.000000;-0.000713
658.000000;-0.000582
657.000000;-0.000561
656.000000;-0.000578
655.000000;-0.000345
654.000000;-0.000481
653.000000;-0.000721
652.000000;-0.000381
651.000000;-0.000389
650.000000;-0.000349
649.000000;-0.000408
648.000000;-0.000465
647.000000;-0.000406
646.000000;-0.000299
645.000000;-0.000210
644.000000;-0.000189
643.000000;-0.000152
642.000000;-0.000076
641.000000;-0.000031
640.000000;-0.000113
639.000000;0.000137
638.000000;0.000289
637.000000;0.000099
636.000000;0.000330
635.000000;0.000536
634.000000;0.000170
633.000000;0.000193
632.000000;0.000256
631.000000;0.000362
630.000000;0.000566
629.000000;0.000421
628.000000;0.000423
627.000000;0.000560
626.000000;0.000648
625.000000;0.000505
624.000000;0.000561
623.000000;0.000567
622.000000;0.000617
621.000000;0.000575
620.000000;0.000424
619.000000;0.000495
618.000000;0.000648
617.000000;0.000589
616.000000;0.000576
615.000000;0.000528
614.000000;0.000712
613.000000;0.000960
612.000000;0.000793
611.000000;0.000947
610.000000;0.001117
609.000000;0.000919
608.000000;0.000901
607.000000;0.000876
606.000000;0.000891
605.000000;0.000933
604.000000;0.001022
603.000000;0.001068
602.000000;0.001110
601.000000;0.001034
600.000000;0.000961
599.000000;0.001099
598.000000;0.001055
597.000000;0.001213
596.000000;0.001125
595.000000;0.000946
594.000000;0.001391
593.000000;0.001382
592.000000;0.001288
591.000000;0.001309
590.000000;0.001421
589.000000;0.001264
588.000000;0.001454
587.000000;0.001515
586.000000;0.001407
585.000000;0.001430
584.000000;0.001551
583.000000;0.001497
582.000000;0.001472
581.000000;0.001527
580.000000;0.001633
579.000000;0.001668
578.000000;0.001595
577.000000;0.001530
576.000000;0.001523
575.000000;0.001374
574.000000;0.001578
573.000000;0.001375
572.000000;0.001446
571.000000;0.001389
570.000000;0.001532
569.000000;0.001543
568.000000;0.001573
567.000000;0.001599
566.000000;0.001463
565.000000;0.001410
564.000000;0.001468
563.000000;0.001585
562.000000;0.001304
561.000000;0.001293
560.000000;0.001454
559.000000;0.001601
558.000000;0.001367
557.000000;0.001374
556.000000;0.001527
555.000000;0.001667
554.000000;0.001601
553.000000;0.001680
552.000000;0.001852
551.000000;0.001879
550.000000;0.002052
549.000000;0.001869
548.000000;0.001894
547.000000;0.001850
546.000000;0.002020
545.000000;0.002162
544.000000;0.002113
543.000000;0.002351
542.000000;0.002182
541.000000;0.002338
540.000000;0.002304
539.000000;0.002350
538.000000;0.002395
537.000000;0.002610
536.000000;0.002704
535.000000;0.002585
534.000000;0.002815
533.000000;0.003026
532.000000;0.002939
531.000000;0.003379
530.000000;0.003256
529.000000;0.003386
528.000000;0.003458
527.000000;0.003540
526.000000;0.003774
525.000000;0.003961
524.000000;0.003963
523.000000;0.004217
522.000000;0.004393
521.000000;0.004637
520.000000;0.004608
519.000000;0.005003
518.000000;0.005094
517.000000;0.005325
516.000000;0.005560
515.000000;0.005741
514.000000;0.005877
513.000000;0.006166
512.000000;0.006490
511.000000;0.006843
510.000000;0.006973
509.000000;0.007357
508.000000;0.007547
507.000000;0.007995
506.000000;0.008204
505.000000;0.008882
504.000000;0.009192
503.000000;0.009553
502.000000;0.009850
501.000000;0.010365
500.000000;0.010770
499.000000;0.011276
498.000000;0.012053
497.000000;0.012537
496.000000;0.012648
495.000000;0.013149
494.000000;0.014017
493.000000;0.014714
492.000000;0.015171
491.000000;0.015927
490.000000;0.016714
489.000000;0.017088
488.000000;0.018131
487.000000;0.018410
486.000000;0.019147
485.000000;0.019973
484.000000;0.020805
483.000000;0.021712
482.000000;0.022553
481.000000;0.023264
480.000000;0.024225
479.000000;0.024813
478.000000;0.025382
477.000000;0.026590
476.000000;0.027141
475.000000;0.027894
474.000000;0.029162
473.000000;0.029966
472.000000;0.031003
471.000000;0.031954
470.000000;0.032622
469.000000;0.033761
468.000000;0.034712
467.000000;0.035685
466.000000;0.036608
465.000000;0.037565
464.000000;0.038509
463.000000;0.039415
462.000000;0.040303
461.000000;0.041304
460.000000;0.042335
459.000000;0.043091
458.000000;0.043997
457.000000;0.045058
456.000000;0.046155
455.000000;0.046932
454.000000;0.047606
453.000000;0.048609
452.000000;0.049383
451.000000;0.050363
450.000000;0.050971
449.000000;0.051368
448.000000;0.052172
447.000000;0.052951
446.000000;0.053400
445.000000;0.054160
444.000000;0.054437
443.000000;0.054924
442.000000;0.055401
441.000000;0.055696
440.000000;0.056019
439.000000;0.055938
438.000000;0.056294
437.000000;0.056558
436.000000;0.056776
435.000000;0.056866
434.000000;0.056805
433.000000;0.056529
432.000000;0.056214
431.000000;0.055952
430.000000;0.055832
429.000000;0.055416
428.000000;0.055159
427.000000;0.054824
426.000000;0.054072
425.000000;0.053701
424.000000;0.053315
423.000000;0.052273
422.000000;0.051718
421.000000;0.050647
420.000000;0.050031
419.000000;0.048856
418.000000;0.047765
417.000000;0.047011
416.000000;0.046041
415.000000;0.045390
414.000000;0.044214
413.000000;0.042831
412.000000;0.041685
411.000000;0.040733
410.000000;0.039493
409.000000;0.038486
408.000000;0.037681
407.000000;0.036062
406.000000;0.035263
405.000000;0.034464
404.000000;0.033292
403.000000;0.032016
402.000000;0.030798
401.000000;0.029512
400.000000;0.028770
399.000000;0.027919
398.000000;0.026591
397.000000;0.025493
396.000000;0.024390
395.000000;0.023560
394.000000;0.022480
393.000000;0.021781
392.000000;0.020992
391.000000;0.020375
390.000000;0.019691
389.000000;0.018886
388.000000;0.018264
387.000000;0.017611
386.000000;0.017050
385.000000;0.016499
384.000000;0.016214
383.000000;0.016120
382.000000;0.015583
381.000000;0.015265
380.000000;0.015021
379.000000;0.015052
378.000000;0.015582
377.000000;0.015371
376.000000;0.015552
375.000000;0.015827
374.000000;0.015923
373.000000;0.016817
372.000000;0.018323
371.000000;0.018872
370.000000;0.020127
369.000000;0.020743
368.000000;0.022295
367.000000;0.023898
366.000000;0.025208
365.000000;0.026231
364.000000;0.028348
363.000000;0.030365
362.000000;0.031413
361.000000;0.032755
360.000000;0.034367
359.000000;0.036175
358.000000;0.037050
357.000000;0.038362
356.000000;0.039650
355.000000;0.041025
354.000000;0.042746
353.000000;0.043966
352.000000;0.045716
351.000000;0.047140
350.000000;0.048730
349.000000;0.050933
348.000000;0.053058
