nm;A
800.000000;0.000028
799.000000;-0.000138
798.000000;-0.000409
797.000000;-0.000870
796.000000;-0.001133
795.000000;-0.001603
794.000000;-0.000482
793.000000;-0.000364
792.000000;-0.001106
791.000000;-0.000306
790.000000;0.000053
789.000000;-0.000157
788.000000;-0.000273
787.000000;0.000039
786.000000;0.000417
785.000000;-0.000629
784.000000;-0.001280
783.000000;-0.000784
782.000000;-0.000981
781.000000;-0.000185
780.000000;0.000004
779.000000;0.000072
778.000000;-0.001337
777.000000;-0.000286
776.000000;-0.000865
775.000000;-0.000724
774.000000;-0.000188
773.000000;-0.001142
772.000000;-0.000171
771.000000;-0.000574
770.000000;-0.000530
769.000000;-0.000504
768.000000;-0.000520
767.000000;-0.000429
766.000000;-0.000466
765.000000;-0.000485
764.000000;-0.000794
763.000000;-0.000962
762.000000;-0.000483
761.000000;-0.001629
760.000000;0.000187
759.000000;-0.000342
758.000000;-0.000885
757.000000;-0.000759
756.000000;-0.000468
755.000000;-0.000622
754.000000;-0.000583
753.000000;-0.000415
752.000000;0.000632
751.000000;0.000085
750.000000;-0.000680
749.000000;-0.000010
748.000000;-0.000257
747.000000;-0.000664
746.000000;-0.000273
745.000000;-0.000602
744.000000;-0.000339
743.000000;-0.000462
742.000000;-0.000714
741.000000;-0.000254
740.000000;-0.000263
739.000000;0.000006
738.000000;0.000099
737.000000;-0.000270
736.000000;-0.000232
735.000000;-0.000361
734.000000;-0.000043
733.000000;0.000065
732.000000;-0.000024
731.000000;0.000352
730.000000;0.000356
729.000000;0.000203
728.000000;-0.000545
727.000000;-0.000413
726.000000;-0.000602
725.000000;-0.000481
724.000000;-0.000091
723.000000;-0.000012
722.000000;-0.000216
721.000000;-0.000436
720.000000;-0.000286
719.000000;-0.000534
718.000000;-0.000517
717.000000;-0.000237
716.000000;0.000232
715.000000;0.000117
714.000000;0.000383
713.000000;-0.000160
712.000000;-0.000551
711.000000;-0.000569
710.000000;-0.000614
709.000000;-0.000518
708.000000;-0.000425
707.000000;-0.000260
706.000000;-0.000161
705.000000;-0.000050
704.000000;-0.000309
703.000000;-0.000150
702.000000;-0.000192
701.000000;-0.000160
700.000000;-0.000099
699.000000;-0.000363
698.000000;-0.000349
697.000000;-0.000261
696.000000;-0.000207
695.000000;0.000006
694.000000;-0.000461
693.000000;-0.000463
692.000000;-0.000053
691.000000;-0.000164
690.000000;-0.000303
689.000000;-0.000043
688.000000;-0.000064
687.000000;-0.000046
686.000000;0.000204
685.000000;0.000028
684.000000;-0.000027
683.000000;0.000176
682.000000;0.000323
681.000000;-0.000201
680.000000;-0.000232
679.000000;0.000257
678.000000;0.000324
677.000000;0.000027
676.000000;0.000159
675.000000;0.000112
674.000000;0.000185
673.000000;0.000194
672.000000;0.000238
671.000000;0.000388
670.000000;0.000593
669.000000;0.000485
668.000000;0.000220
667.000000;0.000492
666.000000;0.000708
665.000000;0.000572
664.000000;0.000259
663.000000;0.000370
662.000000;0.000672
661.000000;0.000427
660.000000;0.000352
659.000000;0.000592
658.000000;0.000682
657.000000;0.000713
656.000000;0.000710
655.000000;0.000990
654.000000;0.000915
653.000000;0.000622
652.000000;0.000750
651.000000;0.000999
650.000000;0.001185
649.000000;0.001111
648.000000;0.000965
647.000000;0.001043
646.000000;0.001110
645.000000;0.001183
644.000000;0.001072
643.000000;0.001177
642.000000;0.001527
641.000000;0.001568
640.000000;0.001506
639.000000;0.001588
638.000000;0.001571
637.000000;0.001567
636.000000;0.001826
635.000000;0.001932
634.000000;0.001662
633.000000;0.001483
632.000000;0.001515
631.000000;0.001926
630.000000;0.002047
629.000000;0.001832
628.000000;0.001808
627.000000;0.001946
626.000000;0.001993
625.000000;0.001791
624.000000;0.001962
623.000000;0.002094
622.000000;0.002012
621.000000;0.002035
620.000000;0.002026
619.000000;0.002089
618.000000;0.002103
617.000000;0.002018
616.000000;0.002244
615.000000;0.002278
614.000000;0.002210
613.000000;0.002243
612.000000;0.002330
611.000000;0.002365
610.000000;0.002291
609.000000;0.002294
608.000000;0.002429
607.000000;0.002476
606.000000;0.002483
605.000000;0.002439
604.000000;0.002440
603.000000;0.002410
602.000000;0.002480
601.000000;0.002502
600.000000;0.002536
599.000000;0.002525
598.000000;0.002631
597.000000;0.002730
596.000000;0.002666
595.000000;0.002633
594.000000;0.002855
593.000000;0.002825
592.000000;0.002654
591.000000;0.002692
590.000000;0.002830
589.000000;0.002774
588.000000;0.002814
587.000000;0.003078
586.000000;0.002778
585.000000;0.002863
584.000000;0.003017
583.000000;0.002882
582.000000;0.002902
581.000000;0.003079
580.000000;0.002990
579.000000;0.002768
578.000000;0.002859
577.000000;0.002962
576.000000;0.003021
575.000000;0.002877
574.000000;0.003013
573.000000;0.002756
572.000000;0.002707
571.000000;0.002642
570.000000;0.002911
569.000000;0.002667
568.000000;0.002708
567.000000;0.002848
566.000000;0.002758
565.000000;0.002673
564.000000;0.002660
563.000000;0.002959
562.000000;0.002761
561.000000;0.002593
560.000000;0.002696
559.000000;0.002711
558.000000;0.002559
557.000000;0.002561
556.000000;0.002717
555.000000;0.002548
554.000000;0.002582
553.000000;0.002684
552.000000;0.002963
551.000000;0.002835
550.000000;0.002889
549.000000;0.002654
548.000000;0.002689
547.000000;0.002854
546.000000;0.002900
545.000000;0.002835
544.000000;0.002952
543.000000;0.002791
542.000000;0.003126
541.000000;0.003050
540.000000;0.003069
539.000000;0.003172
538.000000;0.003112
537.000000;0.003037
536.000000;0.003243
535.000000;0.003222
534.000000;0.003306
533.000000;0.003393
532.000000;0.003381
531.000000;0.003653
530.000000;0.003577
529.000000;0.003612
528.000000;0.003585
527.000000;0.003729
526.000000;0.004041
525.000000;0.003872
524.000000;0.003921
523.000000;0.004117
522.000000;0.004250
521.000000;0.004409
520.000000;0.004291
519.000000;0.004619
518.000000;0.004714
517.000000;0.004903
516.000000;0.005219
515.000000;0.005123
514.000000;0.005222
513.000000;0.005593
512.000000;0.005704
511.000000;0.005998
510.000000;0.006049
509.000000;0.006264
508.000000;0.006398
507.000000;0.006673
506.000000;0.006928
505.000000;0.007237
504.000000;0.007379
503.000000;0.007792
502.000000;0.007777
501.000000;0.008082
500.000000;0.008276
499.000000;0.008814
498.000000;0.009159
497.000000;0.009483
496.000000;0.009647
495.000000;0.010118
494.000000;0.010720
493.000000;0.011071
492.000000;0.011130
491.000000;0.011728
490.000000;0.012657
489.000000;0.012701
488.000000;0.013145
487.000000;0.013286
486.000000;0.013813
485.000000;0.014108
484.000000;0.014707
483.000000;0.015193
482.000000;0.015974
481.000000;0.016430
480.000000;0.016641
479.000000;0.017206
478.000000;0.017239
477.000000;0.018232
476.000000;0.018512
475.000000;0.018631
474.000000;0.019262
473.000000;0.020016
472.000000;0.020588
471.000000;0.020832
470.000000;0.021244
469.000000;0.021864
468.000000;0.022304
467.000000;0.022874
466.000000;0.023224
465.000000;0.023621
464.000000;0.024153
463.000000;0.024568
462.000000;0.025020
461.000000;0.025653
460.000000;0.026018
459.000000;0.026247
458.000000;0.026527
457.000000;0.027280
456.000000;0.027766
455.000000;0.028160
454.000000;0.028417
453.000000;0.028736
452.000000;0.029101
451.000000;0.029264
450.000000;0.029722
449.000000;0.029685
448.000000;0.030000
447.000000;0.030611
446.000000;0.030650
445.000000;0.030778
444.000000;0.030915
443.000000;0.031056
442.000000;0.031220
441.000000;0.031175
440.000000;0.031563
439.000000;0.031394
438.000000;0.031750
437.000000;0.031501
436.000000;0.031659
435.000000;0.031530
434.000000;0.031449
433.000000;0.031450
432.000000;0.031409
431.000000;0.031153
430.000000;0.031020
429.000000;0.030854
428.000000;0.030887
427.000000;0.030724
426.000000;0.030273
425.000000;0.030181
424.000000;0.030136
423.000000;0.029579
422.000000;0.029329
421.000000;0.029088
420.000000;0.028897
419.000000;0.028383
418.000000;0.027648
417.000000;0.027767
416.000000;0.027457
415.000000;0.027196
414.000000;0.026832
413.000000;0.026090
412.000000;0.025451
411.000000;0.025248
410.000000;0.024578
409.000000;0.024304
408.000000;0.024041
407.000000;0.023688
406.000000;0.023430
405.000000;0.022958
404.000000;0.022841
403.000000;0.022132
402.000000;0.021458
401.000000;0.021151
400.000000;0.020867
399.000000;0.020505
398.000000;0.020349
397.000000;0.019947
396.000000;0.019816
395.000000;0.019346
394.000000;0.018586
393.000000;0.018665
392.000000;0.018940
391.000000;0.018921
390.000000;0.018794
389.000000;0.018824
388.000000;0.018786
387.000000;0.019196
386.000000;0.019728
385.000000;0.020638
384.000000;0.021644
383.000000;0.023214
382.000000;0.024952
381.000000;0.027212
380.000000;0.030469
379.000000;0.034806
378.000000;0.040086
377.000000;0.046453
376.000000;0.054212
375.000000;0.063836
374.000000;0.074899
373.000000;0.088096
372.000000;0.103621
371.000000;0.119974
370.000000;0.139139
369.000000;0.160507
368.000000;0.183114
367.000000;0.207157
366.000000;0.231960
365.000000;0.256488
364.000000;0.280441
363.000000;0.304414
362.000000;0.327722
361.000000;0.349630
360.000000;0.370674
359.000000;0.391052
358.000000;0.410169
357.000000;0.428820
356.000000;0.446242
355.000000;0.464705
354.000000;0.483262
353.000000;0.502403
352.000000;0.522068
351.000000;0.542785
350.000000;0.564557
349.000000;0.586710
348.000000;0.608510
347.000000;0.629994
346.000000;0.649982
345.000000;0.669187
344.000000;0.687638
343.000000;0.704237
342.000000;0.717942
341.000000;0.728436
340.000000;0.738050
339.000000;0.745226
338.000000;0.750623
337.000000;0.754004
336.000000;0.754751
335.000000;0.756190
334.000000;0.758248
333.000000;0.758880
332.000000;0.759169
331.000000;0.758659
330.000000;0.756992
329.000000;0.754632
328.000000;0.750993
327.000000;0.747126
326.000000;0.742929
325.000000;0.736116
324.000000;0.727069
323.000000;0.717576
322.000000;0.706150
321.000000;0.694346
320.000000;0.681844
319.000000;0.668672
318.000000;0.654750
317.000000;0.641624
316.000000;0.629589
315.000000;0.618005
314.000000;0.607555
313.000000;0.597045
312.000000;0.585997
311.000000;0.575135
310.000000;0.564663
309.000000;0.553676
308.000000;0.542468
307.000000;0.532166
306.000000;0.521816
305.000000;0.512022
304.000000;0.503383
303.000000;0.495071
302.000000;0.486672
301.000000;0.479567
300.000000;0.473556
299.000000;0.467157
298.000000;0.460269
297.000000;0.454284
296.000000;0.449581
295.000000;0.444135
294.000000;0.438813
293.000000;0.433401
292.000000;0.427971
291.000000;0.423678
290.000000;0.419590
289.000000;0.415880
288.000000;0.411978
287.000000;0.408967
286.000000;0.405457
285.000000;0.400669
284.000000;0.396815
283.000000;0.392953
282.000000;0.389008
281.000000;0.385496
280.000000;0.381735
279.000000;0.376535
278.000000;0.372521
277.000000;0.368481
276.000000;0.363901
275.000000;0.358702
274.000000;0.353389
273.000000;0.348470
272.000000;0.342910
271.000000;0.337457
270.000000;0.331708
269.000000;0.325782
268.000000;0.319494
267.000000;0.314180
266.000000;0.308611
265.000000;0.302777
264.000000;0.296779
263.000000;0.291590
262.000000;0.286603
261.000000;0.281857
260.000000;0.277498
259.000000;0.272759
258.000000;0.268197
257.000000;0.265153
256.000000;0.260957
255.000000;0.258790
254.000000;0.257992
253.000000;0.257323
252.000000;0.258450
251.000000;0.262469
250.000000;0.270567
