nm;A
650.000000;0.032651
649.000000;0.032619
648.000000;0.033152
647.000000;0.033046
646.000000;0.033022
645.000000;0.033175
644.000000;0.033007
643.000000;0.033001
642.000000;0.033129
641.000000;0.033155
640.000000;0.033040
639.000000;0.033118
638.000000;0.032837
637.000000;0.032865
636.000000;0.032913
635.000000;0.033257
634.000000;0.033150
633.000000;0.033194
632.000000;0.033162
631.000000;0.033449
630.000000;0.033218
629.000000;0.033224
628.000000;0.033447
627.000000;0.033471
626.000000;0.033550
625.000000;0.033688
624.000000;0.033688
623.000000;0.033747
622.000000;0.033721
621.000000;0.033742
620.000000;0.033913
619.000000;0.033652
618.000000;0.033501
617.000000;0.033509
616.000000;0.033592
615.000000;0.033709
614.000000;0.033257
613.000000;0.033350
612.000000;0.033485
611.000000;0.033427
610.000000;0.033261
609.000000;0.033307
608.000000;0.033382
607.000000;0.033242
606.000000;0.033422
605.000000;0.033536
604.000000;0.033323
603.000000;0.033646
602.000000;0.033647
601.000000;0.033606
600.000000;0.033477
599.000000;0.033301
598.000000;0.033458
597.000000;0.033430
596.000000;0.033416
595.000000;0.033676
594.000000;0.033549
593.000000;0.033580
592.000000;0.033715
591.000000;0.033577
590.000000;0.033548
589.000000;0.033544
588.000000;0.033723
587.000000;0.033769
586.000000;0.033745
585.000000;0.033707
584.000000;0.033683
583.000000;0.033642
582.000000;0.033771
581.000000;0.033592
580.000000;0.033642
579.000000;0.033862
578.000000;0.033773
577.000000;0.033808
576.000000;0.033869
575.000000;0.034004
574.000000;0.033949
573.000000;0.033951
572.000000;0.033815
571.000000;0.033813
570.000000;0.033883
569.000000;0.034038
568.000000;0.033897
567.000000;0.034188
566.000000;0.033982
565.000000;0.033948
564.000000;0.034053
563.000000;0.033878
562.000000;0.034162
561.000000;0.034191
560.000000;0.034286
559.000000;0.034212
558.000000;0.034200
557.000000;0.034107
556.000000;0.034364
555.000000;0.034202
554.000000;0.034409
553.000000;0.034614
552.000000;0.034586
551.000000;0.034652
550.000000;0.034623
549.000000;0.034811
548.000000;0.034783
547.000000;0.034917
546.000000;0.035059
545.000000;0.035006
544.000000;0.035246
543.000000;0.035189
542.000000;0.035246
541.000000;0.035431
540.000000;0.035400
539.000000;0.035628
538.000000;0.035511
537.000000;0.035638
536.000000;0.035969
535.000000;0.035827
534.000000;0.035941
533.000000;0.036286
532.000000;0.036316
531.000000;0.036345
530.000000;0.036244
529.000000;0.036696
528.000000;0.036942
527.000000;0.037210
526.000000;0.037304
525.000000;0.037588
524.000000;0.037623
523.000000;0.038001
522.000000;0.038067
521.000000;0.038417
520.000000;0.038475
519.000000;0.038852
518.000000;0.039058
517.000000;0.039231
516.000000;0.039498
515.000000;0.039776
514.000000;0.039905
513.000000;0.040395
512.000000;0.040690
511.000000;0.041169
510.000000;0.041507
509.000000;0.041715
508.000000;0.042120
507.000000;0.042682
506.000000;0.042918
505.000000;0.043185
504.000000;0.043719
503.000000;0.044066
502.000000;0.044668
501.000000;0.045158
500.000000;0.045693
499.000000;0.046058
498.000000;0.046684
497.000000;0.047120
496.000000;0.047842
495.000000;0.048403
494.000000;0.048849
493.000000;0.049577
492.000000;0.050140
491.000000;0.050883
490.000000;0.051498
489.000000;0.052393
488.000000;0.052890
487.000000;0.053597
486.000000;0.054453
485.000000;0.055314
484.000000;0.056002
483.000000;0.056896
482.000000;0.057805
481.000000;0.058507
