nm;A
600.000000;0.032171
599.000000;0.032338
598.000000;0.032324
597.000000;0.032200
596.000000;0.032184
595.000000;0.031972
594.000000;0.032346
593.000000;0.031954
592.000000;0.032387
591.000000;0.032081
590.000000;0.032315
589.000000;0.032144
588.000000;0.031977
587.000000;0.032273
586.000000;0.032414
585.000000;0.032509
584.000000;0.032521
583.000000;0.032644
582.000000;0.032458
581.000000;0.032379
580.000000;0.032602
579.000000;0.032651
578.000000;0.032924
577.000000;0.032947
576.000000;0.032942
575.000000;0.032880
574.000000;0.032957
573.000000;0.032884
572.000000;0.032950
571.000000;0.033141
570.000000;0.033144
569.000000;0.033145
568.000000;0.032980
567.000000;0.032973
566.000000;0.033363
565.000000;0.033312
564.000000;0.033277
563.000000;0.033367
562.000000;0.033433
561.000000;0.033760
560.000000;0.033821
559.000000;0.034004
558.000000;0.033912
557.000000;0.034254
556.000000;0.034066
555.000000;0.034037
554.000000;0.034363
553.000000;0.034642
552.000000;0.034787
551.000000;0.034934
550.000000;0.034923
549.000000;0.035130
548.000000;0.035085
547.000000;0.035306
546.000000;0.035567
545.000000;0.035729
544.000000;0.035831
543.000000;0.036134
542.000000;0.036157
541.000000;0.036378
540.000000;0.036843
539.000000;0.036953
538.000000;0.037118
537.000000;0.037518
536.000000;0.037646
535.000000;0.037867
534.000000;0.038278
533.000000;0.038723
532.000000;0.038800
531.000000;0.039154
530.000000;0.039474
529.000000;0.039824
528.000000;0.040305
527.000000;0.040677
526.000000;0.041105
525.000000;0.041286
524.000000;0.041973
523.000000;0.042242
522.000000;0.042852
521.000000;0.043278
520.000000;0.043624
519.000000;0.044205
518.000000;0.044833
517.000000;0.045367
516.000000;0.045999
515.000000;0.046684
514.000000;0.047373
513.000000;0.048115
512.000000;0.048603
511.000000;0.049339
510.000000;0.050125
509.000000;0.050907
508.000000;0.051735
507.000000;0.052596
506.000000;0.053237
505.000000;0.054138
504.000000;0.054993
503.000000;0.056091
502.000000;0.056923
501.000000;0.057737
500.000000;0.058797
499.000000;0.059826
498.000000;0.061055
497.000000;0.062245
496.000000;0.063416
495.000000;0.064353
494.000000;0.065346
493.000000;0.066539
492.000000;0.067813
491.000000;0.069181
490.000000;0.070400
489.000000;0.071612
488.000000;0.072805
487.000000;0.074030
486.000000;0.075531
485.000000;0.077245
484.000000;0.078573
483.000000;0.079876
482.000000;0.081306
481.000000;0.082628
480.000000;0.084119
479.000000;0.085481
478.000000;0.086894
477.000000;0.088438
476.000000;0.090084
475.000000;0.091335
474.000000;0.092596
473.000000;0.094094
472.000000;0.095529
471.000000;0.097076
470.000000;0.098524
469.000000;0.099915
468.000000;0.101215
467.000000;0.102467
466.000000;0.103816
465.000000;0.105089
464.000000;0.106277
463.000000;0.107608
462.000000;0.108841
461.000000;0.109882
460.000000;0.110870
459.000000;0.111889
458.000000;0.113005
457.000000;0.113885
456.000000;0.114710
455.000000;0.115423
454.000000;0.116090
453.000000;0.116817
452.000000;0.117350
451.000000;0.117606
450.000000;0.117970
449.000000;0.118501
448.000000;0.118963
447.000000;0.119180
446.000000;0.119359
445.000000;0.119337
444.000000;0.119195
443.000000;0.119054
442.000000;0.118686
441.000000;0.118340
440.000000;0.117830
439.000000;0.117186
438.000000;0.116703
437.000000;0.116084
436.000000;0.115141
435.000000;0.114192
