nm;A
650.000000;0.038457
649.000000;0.038650
648.000000;0.038874
647.000000;0.038977
646.000000;0.039191
645.000000;0.039028
644.000000;0.038977
643.000000;0.039077
642.000000;0.039396
641.000000;0.039598
640.000000;0.039399
639.000000;0.039166
638.000000;0.038977
637.000000;0.039119
636.000000;0.039346
635.000000;0.039245
634.000000;0.039214
633.000000;0.039277
632.000000;0.039192
631.000000;0.039279
630.000000;0.039297
629.000000;0.039271
628.000000;0.039064
627.000000;0.038961
626.000000;0.039104
625.000000;0.039063
624.000000;0.039038
623.000000;0.039017
622.000000;0.038933
621.000000;0.038993
620.000000;0.038957
619.000000;0.038794
618.000000;0.038744
617.000000;0.038696
616.000000;0.038667
615.000000;0.038592
614.000000;0.038403
613.000000;0.038380
612.000000;0.038534
611.000000;0.038488
610.000000;0.038280
609.000000;0.038061
608.000000;0.038362
607.000000;0.038404
606.000000;0.038368
605.000000;0.038360
604.000000;0.038402
603.000000;0.038572
602.000000;0.038482
601.000000;0.038412
600.000000;0.038244
599.000000;0.038172
598.000000;0.038315
597.000000;0.038506
596.000000;0.038550
595.000000;0.038547
594.000000;0.038319
593.000000;0.038487
592.000000;0.038618
591.000000;0.038560
590.000000;0.038667
589.000000;0.038639
588.000000;0.038657
587.000000;0.038558
586.000000;0.038434
585.000000;0.038649
584.000000;0.038616
583.000000;0.038590
582.000000;0.038641
581.000000;0.038558
580.000000;0.038460
579.000000;0.038539
578.000000;0.038472
577.000000;0.038410
576.000000;0.038632
575.000000;0.038876
574.000000;0.038767
573.000000;0.038746
572.000000;0.038780
571.000000;0.038712
570.000000;0.038568
569.000000;0.038786
568.000000;0.038740
567.000000;0.038612
566.000000;0.038768
565.000000;0.038802
564.000000;0.038718
563.000000;0.038602
562.000000;0.038842
561.000000;0.038938
560.000000;0.038839
559.000000;0.038786
558.000000;0.038674
557.000000;0.038646
556.000000;0.038691
555.000000;0.038818
554.000000;0.038872
553.000000;0.039089
552.000000;0.039088
551.000000;0.039105
550.000000;0.038904
549.000000;0.039206
548.000000;0.039095
547.000000;0.039208
546.000000;0.039176
545.000000;0.039009
544.000000;0.039037
543.000000;0.039088
542.000000;0.039018
541.000000;0.039217
540.000000;0.039356
539.000000;0.039258
538.000000;0.039100
537.000000;0.039272
536.000000;0.039371
535.000000;0.039187
534.000000;0.039175
533.000000;0.039458
532.000000;0.039280
531.000000;0.039204
530.000000;0.039081
529.000000;0.039307
528.000000;0.039321
527.000000;0.039539
526.000000;0.039392
525.000000;0.039567
524.000000;0.039411
523.000000;0.039566
522.000000;0.039473
521.000000;0.039686
520.000000;0.039682
519.000000;0.039728
518.000000;0.039635
517.000000;0.039519
516.000000;0.039684
515.000000;0.039590
514.000000;0.039546
513.000000;0.039843
512.000000;0.039930
511.000000;0.040068
510.000000;0.039972
509.000000;0.039952
508.000000;0.039981
507.000000;0.040151
506.000000;0.040126
505.000000;0.040243
504.000000;0.040247
503.000000;0.040184
502.000000;0.040324
501.000000;0.040196
500.000000;0.040481
499.000000;0.040537
498.000000;0.040518
497.000000;0.040391
496.000000;0.040466
495.000000;0.040677
494.000000;0.040520
493.000000;0.040287
492.000000;0.040499
491.000000;0.040557
490.000000;0.040113
489.000000;0.040503
488.000000;0.040656
487.000000;0.040488
486.000000;0.040437
485.000000;0.040566
484.000000;0.040540
483.000000;0.040474
482.000000;0.040386
481.000000;0.040117
480.000000;0.040367
479.000000;0.040578
478.000000;0.040846
477.000000;0.040730
476.000000;0.040664
475.000000;0.040753
474.000000;0.040642
473.000000;0.040798
472.000000;0.040933
471.000000;0.040981
470.000000;0.040971
469.000000;0.041165
468.000000;0.041275
467.000000;0.041206
466.000000;0.041221
465.000000;0.041218
464.000000;0.041363
463.000000;0.041557
462.000000;0.041615
461.000000;0.041549
460.000000;0.041752
459.000000;0.041827
458.000000;0.041957
457.000000;0.041581
456.000000;0.042231
455.000000;0.041760
454.000000;0.041936
453.000000;0.041991
452.000000;0.042016
451.000000;0.041921
450.000000;0.042251
449.000000;0.041996
448.000000;0.042180
447.000000;0.042281
446.000000;0.041954
445.000000;0.042114
444.000000;0.042396
443.000000;0.042532
442.000000;0.042339
441.000000;0.042255
440.000000;0.042137
439.000000;0.042390
438.000000;0.042043
437.000000;0.042484
436.000000;0.042619
435.000000;0.042530
434.000000;0.042779
433.000000;0.042532
432.000000;0.042978
431.000000;0.042705
430.000000;0.042920
429.000000;0.042723
428.000000;0.043025
427.000000;0.043163
426.000000;0.043503
425.000000;0.042948
424.000000;0.043009
423.000000;0.043144
422.000000;0.043394
421.000000;0.043502
420.000000;0.043452
419.000000;0.043244
418.000000;0.043751
417.000000;0.043561
416.000000;0.043394
415.000000;0.043668
414.000000;0.043614
413.000000;0.043614
412.000000;0.043287
411.000000;0.043650
410.000000;0.043877
409.000000;0.043769
408.000000;0.044041
407.000000;0.044062
406.000000;0.043552
405.000000;0.043949
404.000000;0.044291
403.000000;0.044007
402.000000;0.044237
401.000000;0.044417
400.000000;0.044219
399.000000;0.044366
398.000000;0.044385
397.000000;0.044711
396.000000;0.044903
395.000000;0.044883
394.000000;0.044619
393.000000;0.045006
392.000000;0.045027
391.000000;0.044582
390.000000;0.044846
389.000000;0.044810
388.000000;0.045128
387.000000;0.044950
386.000000;0.045248
385.000000;0.045385
