nm;A
650.000000;0.032748
649.000000;0.032316
648.000000;0.032584
647.000000;0.033020
646.000000;0.032896
645.000000;0.032924
644.000000;0.032558
643.000000;0.032471
642.000000;0.032859
641.000000;0.032921
640.000000;0.032899
639.000000;0.032927
638.000000;0.032903
637.000000;0.032677
636.000000;0.032793
635.000000;0.032774
634.000000;0.032919
633.000000;0.032956
632.000000;0.033228
631.000000;0.032895
630.000000;0.032861
629.000000;0.032905
628.000000;0.033115
627.000000;0.033508
626.000000;0.033472
625.000000;0.033190
624.000000;0.033164
623.000000;0.033229
622.000000;0.033374
621.000000;0.033433
620.000000;0.033733
619.000000;0.033314
618.000000;0.033350
617.000000;0.033208
616.000000;0.033398
615.000000;0.033289
614.000000;0.032981
613.000000;0.033105
612.000000;0.032996
611.000000;0.033143
610.000000;0.033110
609.000000;0.032905
608.000000;0.033170
607.000000;0.033213
606.000000;0.033175
605.000000;0.033192
604.000000;0.033182
603.000000;0.033233
602.000000;0.033284
601.000000;0.033260
600.000000;0.033339
599.000000;0.033147
598.000000;0.032927
597.000000;0.033368
596.000000;0.033344
595.000000;0.033457
594.000000;0.033241
593.000000;0.033150
592.000000;0.033183
591.000000;0.033209
590.000000;0.033373
589.000000;0.033333
588.000000;0.033518
587.000000;0.033465
586.000000;0.033356
585.000000;0.033529
584.000000;0.033639
583.000000;0.033475
582.000000;0.033570
581.000000;0.033248
580.000000;0.033468
579.000000;0.033623
578.000000;0.033140
577.000000;0.033455
576.000000;0.033532
575.000000;0.033800
574.000000;0.033745
573.000000;0.033488
572.000000;0.033443
571.000000;0.033625
570.000000;0.033763
569.000000;0.033729
568.000000;0.033610
567.000000;0.033462
566.000000;0.033529
565.000000;0.033511
564.000000;0.033800
563.000000;0.033598
562.000000;0.033866
561.000000;0.033955
560.000000;0.033930
559.000000;0.034032
558.000000;0.033855
557.000000;0.033762
556.000000;0.033877
555.000000;0.033856
554.000000;0.034188
553.000000;0.034213
552.000000;0.034191
551.000000;0.034276
550.000000;0.034046
549.000000;0.034332
548.000000;0.034482
547.000000;0.034634
546.000000;0.034606
545.000000;0.034529
544.000000;0.034603
543.000000;0.034654
542.000000;0.034539
541.000000;0.034877
540.000000;0.035067
539.000000;0.035156
538.000000;0.035137
537.000000;0.035167
536.000000;0.035341
535.000000;0.035355
534.000000;0.035561
533.000000;0.035693
532.000000;0.035686
531.000000;0.035785
530.000000;0.035799
529.000000;0.036101
528.000000;0.036300
527.000000;0.036575
526.000000;0.036736
525.000000;0.037017
524.000000;0.036990
523.000000;0.037296
522.000000;0.037286
521.000000;0.037656
520.000000;0.037744
519.000000;0.038122
518.000000;0.038247
517.000000;0.038504
516.000000;0.038869
515.000000;0.039042
514.000000;0.039201
513.000000;0.039624
512.000000;0.039886
511.000000;0.040232
510.000000;0.040501
509.000000;0.040767
508.000000;0.041130
507.000000;0.041650
506.000000;0.042007
505.000000;0.042365
504.000000;0.042859
503.000000;0.043186
502.000000;0.043705
501.000000;0.044015
500.000000;0.044553
