nm;A
650.000000;0.035211
649.000000;0.035284
648.000000;0.035354
647.000000;0.035198
646.000000;0.035531
645.000000;0.035349
644.000000;0.035556
643.000000;0.035541
642.000000;0.035334
641.000000;0.035729
640.000000;0.035665
639.000000;0.035543
638.000000;0.035437
637.000000;0.035279
636.000000;0.035443
635.000000;0.035783
634.000000;0.035725
633.000000;0.035536
632.000000;0.035980
631.000000;0.035912
630.000000;0.035769
629.000000;0.035721
628.000000;0.035714
627.000000;0.036176
626.000000;0.036243
625.000000;0.036257
624.000000;0.036300
623.000000;0.036226
622.000000;0.036120
621.000000;0.036140
620.000000;0.036367
619.000000;0.036284
618.000000;0.036226
617.000000;0.036202
616.000000;0.036043
615.000000;0.036297
614.000000;0.035809
613.000000;0.035916
612.000000;0.036058
611.000000;0.035888
610.000000;0.035862
609.000000;0.035855
608.000000;0.036159
607.000000;0.036129
606.000000;0.036050
605.000000;0.036138
604.000000;0.036038
603.000000;0.035930
602.000000;0.036196
601.000000;0.036395
600.000000;0.036125
599.000000;0.036077
598.000000;0.036128
597.000000;0.036465
596.000000;0.036414
595.000000;0.036401
594.000000;0.036290
593.000000;0.036214
592.000000;0.036233
591.000000;0.036230
590.000000;0.036318
589.000000;0.036354
588.000000;0.036679
587.000000;0.036290
586.000000;0.036373
585.000000;0.036468
584.000000;0.036299
583.000000;0.036295
582.000000;0.036565
581.000000;0.036372
580.000000;0.036357
579.000000;0.036661
578.000000;0.036456
577.000000;0.036763
576.000000;0.036802
575.000000;0.036649
574.000000;0.036617
573.000000;0.036598
572.000000;0.036608
571.000000;0.036496
570.000000;0.036710
569.000000;0.036761
568.000000;0.036518
567.000000;0.036703
566.000000;0.036627
565.000000;0.036643
564.000000;0.036701
563.000000;0.036323
562.000000;0.036694
561.000000;0.036847
560.000000;0.036767
559.000000;0.036777
558.000000;0.036617
557.000000;0.036514
556.000000;0.036573
555.000000;0.036425
554.000000;0.036694
553.000000;0.036968
552.000000;0.036802
551.000000;0.036739
550.000000;0.036687
549.000000;0.036862
548.000000;0.036900
547.000000;0.037159
546.000000;0.037106
545.000000;0.037062
544.000000;0.037112
543.000000;0.037153
542.000000;0.037072
541.000000;0.037259
540.000000;0.037347
539.000000;0.037413
538.000000;0.037468
537.000000;0.037501
536.000000;0.037739
535.000000;0.037566
534.000000;0.037658
533.000000;0.037884
532.000000;0.037777
531.000000;0.037721
530.000000;0.037656
529.000000;0.038048
528.000000;0.038235
527.000000;0.038473
526.000000;0.038536
525.000000;0.038683
524.000000;0.038752
523.000000;0.039063
522.000000;0.039011
521.000000;0.039309
520.000000;0.039324
519.000000;0.039616
518.000000;0.039624
517.000000;0.039732
516.000000;0.040011
515.000000;0.040089
514.000000;0.040284
513.000000;0.040699
512.000000;0.040797
511.000000;0.041118
510.000000;0.041315
509.000000;0.041484
508.000000;0.041694
507.000000;0.042109
506.000000;0.042385
505.000000;0.042605
504.000000;0.042967
503.000000;0.043130
502.000000;0.043575
501.000000;0.043993
500.000000;0.044261
499.000000;0.044451
498.000000;0.045047
497.000000;0.045259
496.000000;0.045685
495.000000;0.046153
494.000000;0.046340
493.000000;0.046750
492.000000;0.047199
491.000000;0.047491
490.000000;0.047819
489.000000;0.048497
488.000000;0.048827
487.000000;0.049354
486.000000;0.049813
485.000000;0.050437
484.000000;0.050846
483.000000;0.051432
482.000000;0.051984
481.000000;0.052235
480.000000;0.052896
479.000000;0.053345
478.000000;0.053880
477.000000;0.054316
476.000000;0.054816
475.000000;0.055165
474.000000;0.055700
473.000000;0.056221
472.000000;0.056767
471.000000;0.057360
470.000000;0.057789
469.000000;0.058260
468.000000;0.058841
467.000000;0.059305
466.000000;0.059706
465.000000;0.060219
464.000000;0.060884
463.000000;0.061289
462.000000;0.061755
461.000000;0.062403
460.000000;0.062856
459.000000;0.063134
458.000000;0.063728
457.000000;0.063861
456.000000;0.064733
455.000000;0.064945
454.000000;0.065212
453.000000;0.065646
452.000000;0.065964
451.000000;0.065991
450.000000;0.066622
449.000000;0.066503
448.000000;0.066710
447.000000;0.067455
446.000000;0.067458
445.000000;0.067768
444.000000;0.068292
443.000000;0.068537
442.000000;0.068217
441.000000;0.068368
440.000000;0.068411
439.000000;0.068631
438.000000;0.068494
437.000000;0.068731
436.000000;0.068692
435.000000;0.068623
434.000000;0.068639
433.000000;0.068249
432.000000;0.068443
431.000000;0.068132
430.000000;0.068168
429.000000;0.067800
428.000000;0.067729
427.000000;0.067573
426.000000;0.067402
425.000000;0.067125
424.000000;0.066701
423.000000;0.066472
422.000000;0.066408
421.000000;0.066173
420.000000;0.065632
419.000000;0.065324
418.000000;0.064785
417.000000;0.064366
416.000000;0.063950
415.000000;0.063677
414.000000;0.063483
413.000000;0.062741
412.000000;0.062015
411.000000;0.062029
410.000000;0.061505
409.000000;0.060751
408.000000;0.060532
407.000000;0.060149
406.000000;0.059129
405.000000;0.059110
404.000000;0.058838
403.000000;0.058531
402.000000;0.058051
401.000000;0.057469
400.000000;0.057090
399.000000;0.056562
398.000000;0.056419
397.000000;0.056262
396.000000;0.056017
395.000000;0.055757
394.000000;0.055000
393.000000;0.055281
392.000000;0.055243
391.000000;0.054895
390.000000;0.054856
389.000000;0.055232
388.000000;0.055430
387.000000;0.055942
386.000000;0.056420
385.000000;0.057121
384.000000;0.058451
383.000000;0.060049
382.000000;0.061982
381.000000;0.064752
380.000000;0.068119
379.000000;0.072294
378.000000;0.077832
377.000000;0.085275
376.000000;0.093879
375.000000;0.103128
374.000000;0.115661
373.000000;0.130480
372.000000;0.145686
371.000000;0.164021
370.000000;0.184694
369.000000;0.207556
368.000000;0.231836
367.000000;0.257968
366.000000;0.283894
365.000000;0.311563
364.000000;0.337761
363.000000;0.363634
362.000000;0.389114
361.000000;0.413211
360.000000;0.435530
359.000000;0.457482
358.000000;0.478454
357.000000;0.498862
356.000000;0.518508
355.000000;0.538909
354.000000;0.559313
353.000000;0.579267
352.000000;0.600492
351.000000;0.622224
350.000000;0.645674
349.000000;0.670630
348.000000;0.693847
347.000000;0.716730
346.000000;0.739247
345.000000;0.761629
344.000000;0.781672
343.000000;0.797638
342.000000;0.812754
341.000000;0.825652
340.000000;0.837128
339.000000;0.844633
338.000000;0.849697
337.000000;0.853885
336.000000;0.856009
335.000000;0.858254
334.000000;0.859375
333.000000;0.861187
332.000000;0.858731
331.000000;0.858080
330.000000;0.857919
329.000000;0.854793
328.000000;0.851595
327.000000;0.846489
326.000000;0.841235
325.000000;0.832677
324.000000;0.822614
323.000000;0.810400
322.000000;0.798900
321.000000;0.784524
320.000000;0.771330
319.000000;0.754362
318.000000;0.738933
317.000000;0.722829
316.000000;0.706388
315.000000;0.691796
314.000000;0.675911
313.000000;0.661125
312.000000;0.644857
311.000000;0.626888
310.000000;0.610627
309.000000;0.594042
308.000000;0.577192
307.000000;0.559370
306.000000;0.542281
305.000000;0.526154
304.000000;0.510193
303.000000;0.494063
302.000000;0.477979
301.000000;0.462923
300.000000;0.448727
299.000000;0.433783
298.000000;0.419161
297.000000;0.406397
296.000000;0.392976
295.000000;0.378740
294.000000;0.365882
293.000000;0.353395
292.000000;0.341558
291.000000;0.329882
290.000000;0.318331
289.000000;0.307495
288.000000;0.297849
287.000000;0.287761
286.000000;0.278205
285.000000;0.268988
284.000000;0.259698
283.000000;0.251866
282.000000;0.242788
281.000000;0.235286
280.000000;0.227735
279.000000;0.220064
278.000000;0.213430
277.000000;0.206856
276.000000;0.200614
275.000000;0.194385
274.000000;0.189651
273.000000;0.184789
272.000000;0.179953
271.000000;0.175173
270.000000;0.171654
269.000000;0.167226
268.000000;0.164149
267.000000;0.160820
266.000000;0.158602
265.000000;0.157337
264.000000;0.156021
263.000000;0.155334
262.000000;0.155316
261.000000;0.155628
260.000000;0.156447
259.000000;0.158967
258.000000;0.161786
257.000000;0.164958
256.000000;0.169574
255.000000;0.174848
254.000000;0.181262
253.000000;0.189280
252.000000;0.198845
251.000000;0.211015
250.000000;0.227187
