nm;A
650.000000;-0.035157
649.000000;-0.034638
648.000000;-0.034582
647.000000;-0.034615
646.000000;-0.034362
645.000000;-0.034467
644.000000;-0.034186
643.000000;-0.033946
642.000000;-0.034091
641.000000;-0.034272
640.000000;-0.033749
639.000000;-0.034049
638.000000;-0.033932
637.000000;-0.033577
636.000000;-0.033467
635.000000;-0.033377
634.000000;-0.033323
633.000000;-0.033020
632.000000;-0.033248
631.000000;-0.033199
630.000000;-0.032911
629.000000;-0.032958
628.000000;-0.032951
627.000000;-0.032936
626.000000;-0.032657
625.000000;-0.032765
624.000000;-0.032533
623.000000;-0.032393
622.000000;-0.032489
621.000000;-0.032335
620.000000;-0.032156
619.000000;-0.032336
618.000000;-0.032102
617.000000;-0.032252
616.000000;-0.032124
615.000000;-0.031787
614.000000;-0.031720
613.000000;-0.031886
612.000000;-0.031625
611.000000;-0.031505
610.000000;-0.031693
609.000000;-0.031526
608.000000;-0.031409
607.000000;-0.031486
606.000000;-0.031298
605.000000;-0.031168
604.000000;-0.031165
603.000000;-0.031166
602.000000;-0.031310
601.000000;-0.031241
600.000000;-0.030947
599.000000;-0.031261
598.000000;-0.031030
597.000000;-0.031065
596.000000;-0.030994
595.000000;-0.030938
594.000000;-0.031011
593.000000;-0.030803
592.000000;-0.030818
591.000000;-0.030807
590.000000;-0.030630
589.000000;-0.030643
588.000000;-0.030582
587.000000;-0.030470
586.000000;-0.030504
585.000000;-0.030555
584.000000;-0.030549
583.000000;-0.030532
582.000000;-0.030568
581.000000;-0.030485
580.000000;-0.030484
579.000000;-0.030340
578.000000;-0.030343
577.000000;-0.030329
576.000000;-0.030457
575.000000;-0.030214
574.000000;-0.030235
573.000000;-0.030322
572.000000;-0.030331
571.000000;-0.030261
570.000000;-0.030200
569.000000;-0.030150
568.000000;-0.030173
567.000000;-0.030174
566.000000;-0.030098
565.000000;-0.029935
564.000000;-0.030111
563.000000;-0.030334
562.000000;-0.030555
561.000000;-0.030616
560.000000;-0.030625
559.000000;-0.030473
558.000000;-0.030664
557.000000;-0.030588
556.000000;-0.030595
555.000000;-0.030580
554.000000;-0.030570
553.000000;-0.030552
552.000000;-0.030528
551.000000;-0.030484
550.000000;-0.030456
549.000000;-0.030492
548.000000;-0.030639
547.000000;-0.030557
546.000000;-0.030561
545.000000;-0.030584
544.000000;-0.030618
543.000000;-0.030584
542.000000;-0.030606
541.000000;-0.030562
540.000000;-0.030557
539.000000;-0.030653
538.000000;-0.030592
537.000000;-0.030447
536.000000;-0.030443
535.000000;-0.030576
534.000000;-0.030544
533.000000;-0.030643
532.000000;-0.030638
531.000000;-0.030528
530.000000;-0.030498
529.000000;-0.030659
528.000000;-0.030667
527.000000;-0.030648
526.000000;-0.030645
525.000000;-0.030640
524.000000;-0.030640
523.000000;-0.030709
522.000000;-0.030740
521.000000;-0.030790
520.000000;-0.030810
519.000000;-0.030840
518.000000;-0.030945
517.000000;-0.030980
516.000000;-0.030952
515.000000;-0.030998
514.000000;-0.031067
513.000000;-0.031119
512.000000;-0.031164
511.000000;-0.031187
510.000000;-0.031174
509.000000;-0.031271
508.000000;-0.031282
507.000000;-0.031185
506.000000;-0.031188
505.000000;-0.031162
504.000000;-0.031092
503.000000;-0.031068
502.000000;-0.030962
501.000000;-0.030848
500.000000;-0.030772
499.000000;-0.030671
498.000000;-0.030562
497.000000;-0.030539
496.000000;-0.030431
495.000000;-0.030368
494.000000;-0.030420
493.000000;-0.030388
492.000000;-0.030324
491.000000;-0.030177
490.000000;-0.030180
489.000000;-0.030207
488.000000;-0.030245
487.000000;-0.030293
486.000000;-0.030289
485.000000;-0.030357
484.000000;-0.030389
483.000000;-0.030400
482.000000;-0.030360
481.000000;-0.030391
480.000000;-0.030478
479.000000;-0.030518
478.000000;-0.030533
477.000000;-0.030465
476.000000;-0.030583
475.000000;-0.030700
474.000000;-0.030641
473.000000;-0.030597
472.000000;-0.030514
471.000000;-0.030507
470.000000;-0.030490
469.000000;-0.030386
468.000000;-0.030286
467.000000;-0.030196
466.000000;-0.030090
465.000000;-0.029974
464.000000;-0.029825
463.000000;-0.029786
462.000000;-0.029732
461.000000;-0.029561
460.000000;-0.029499
459.000000;-0.029483
458.000000;-0.029428
457.000000;-0.029391
456.000000;-0.029460
455.000000;-0.029632
454.000000;-0.029632
453.000000;-0.029639
452.000000;-0.029736
451.000000;-0.029752
450.000000;-0.029614
449.000000;-0.029750
448.000000;-0.029843
447.000000;-0.029740
446.000000;-0.029712
445.000000;-0.029806
444.000000;-0.029886
443.000000;-0.030130
442.000000;-0.030205
441.000000;-0.030038
440.000000;-0.029989
439.000000;-0.029835
438.000000;-0.029945
437.000000;-0.029927
436.000000;-0.029898
435.000000;-0.029852
434.000000;-0.030026
433.000000;-0.030003
432.000000;-0.030042
431.000000;-0.029944
430.000000;-0.029939
429.000000;-0.029897
428.000000;-0.029776
427.000000;-0.029859
426.000000;-0.030095
425.000000;-0.030205
424.000000;-0.029893
423.000000;-0.029834
422.000000;-0.029901
421.000000;-0.030037
420.000000;-0.029822
419.000000;-0.029773
418.000000;-0.029837
417.000000;-0.029922
416.000000;-0.029787
415.000000;-0.029817
