nm;A
650.000000;0.031125
649.000000;0.030779
648.000000;0.030788
647.000000;0.030926
646.000000;0.031042
645.000000;0.030890
644.000000;0.030943
643.000000;0.030754
642.000000;0.030815
641.000000;0.031244
640.000000;0.030911
639.000000;0.031312
638.000000;0.031204
637.000000;0.031020
636.000000;0.030805
635.000000;0.031173
634.000000;0.031081
633.000000;0.030809
632.000000;0.031098
631.000000;0.031415
630.000000;0.030942
629.000000;0.031324
628.000000;0.031090
627.000000;0.031115
626.000000;0.031030
625.000000;0.031274
624.000000;0.031153
623.000000;0.031060
622.000000;0.031173
621.000000;0.031145
620.000000;0.030738
619.000000;0.031137
618.000000;0.031067
617.000000;0.030932
616.000000;0.031124
615.000000;0.030668
614.000000;0.030874
613.000000;0.031394
612.000000;0.030942
611.000000;0.030851
610.000000;0.031050
609.000000;0.030679
608.000000;0.030738
607.000000;0.031028
606.000000;0.030794
605.000000;0.030711
604.000000;0.030996
603.000000;0.030859
602.000000;0.030901
601.000000;0.031032
600.000000;0.030961
599.000000;0.031248
598.000000;0.030913
597.000000;0.031104
596.000000;0.031200
595.000000;0.031160
594.000000;0.031137
593.000000;0.031034
592.000000;0.031075
591.000000;0.031047
590.000000;0.030780
589.000000;0.030697
588.000000;0.030562
587.000000;0.030814
586.000000;0.030984
585.000000;0.031128
584.000000;0.031117
583.000000;0.031100
582.000000;0.031083
581.000000;0.031105
580.000000;0.031464
579.000000;0.031283
578.000000;0.031125
577.000000;0.031084
576.000000;0.031235
575.000000;0.031275
574.000000;0.031123
573.000000;0.031334
572.000000;0.031359
571.000000;0.031310
570.000000;0.031590
569.000000;0.031591
568.000000;0.031708
567.000000;0.031635
566.000000;0.031536
565.000000;0.031422
564.000000;0.031648
563.000000;0.032049
562.000000;0.032009
561.000000;0.031935
560.000000;0.032019
559.000000;0.031895
558.000000;0.032287
557.000000;0.032308
556.000000;0.032439
555.000000;0.032533
554.000000;0.032695
553.000000;0.032747
552.000000;0.032679
551.000000;0.032823
550.000000;0.032961
549.000000;0.033041
548.000000;0.033257
547.000000;0.033280
546.000000;0.033485
545.000000;0.033628
544.000000;0.033885
543.000000;0.034070
542.000000;0.034116
541.000000;0.034222
540.000000;0.034314
539.000000;0.034660
538.000000;0.034726
537.000000;0.034724
536.000000;0.035012
535.000000;0.035351
534.000000;0.035528
533.000000;0.035882
532.000000;0.036145
531.000000;0.036219
530.000000;0.036546
529.000000;0.036949
528.000000;0.037245
527.000000;0.037574
526.000000;0.037769
525.000000;0.038044
524.000000;0.038515
523.000000;0.038905
522.000000;0.039209
521.000000;0.039632
520.000000;0.040192
519.000000;0.040639
518.000000;0.041163
517.000000;0.041718
516.000000;0.042192
515.000000;0.042764
514.000000;0.043339
513.000000;0.043899
512.000000;0.044549
511.000000;0.045142
510.000000;0.045711
509.000000;0.046531
508.000000;0.047157
507.000000;0.047774
506.000000;0.048567
505.000000;0.049300
504.000000;0.050013
503.000000;0.050939
502.000000;0.051747
501.000000;0.052695
500.000000;0.053659
499.000000;0.054485
498.000000;0.055350
497.000000;0.056415
496.000000;0.057580
495.000000;0.058564
494.000000;0.059696
493.000000;0.060889
492.000000;0.062177
491.000000;0.063346
490.000000;0.064598
489.000000;0.065982
488.000000;0.067461
487.000000;0.068765
486.000000;0.069999
485.000000;0.071351
484.000000;0.072803
483.000000;0.074378
482.000000;0.075641
481.000000;0.077032
480.000000;0.078806
479.000000;0.080474
478.000000;0.081978
477.000000;0.083430
476.000000;0.085208
475.000000;0.086878
474.000000;0.088379
473.000000;0.090090
472.000000;0.091780
471.000000;0.093520
470.000000;0.095210
469.000000;0.096774
468.000000;0.098329
467.000000;0.100025
466.000000;0.101850
465.000000;0.103603
464.000000;0.105187
463.000000;0.106936
462.000000;0.108466
461.000000;0.110032
460.000000;0.111690
459.000000;0.113175
458.000000;0.114696
457.000000;0.116288
456.000000;0.117607
455.000000;0.119101
454.000000;0.120480
453.000000;0.121763
452.000000;0.123120
451.000000;0.124343
450.000000;0.125269
449.000000;0.126294
448.000000;0.127297
447.000000;0.128055
446.000000;0.129020
445.000000;0.129994
444.000000;0.130349
443.000000;0.130908
442.000000;0.131476
441.000000;0.131805
440.000000;0.131882
439.000000;0.131909
438.000000;0.132104
437.000000;0.132003
436.000000;0.131733
435.000000;0.131168
434.000000;0.130844
433.000000;0.130495
432.000000;0.129999
431.000000;0.129099
430.000000;0.128193
429.000000;0.127338
