nm;A
600.000000;-0.011743
599.000000;-0.012923
598.000000;-0.013128
597.000000;-0.013339
596.000000;-0.012789
595.000000;-0.013306
594.000000;-0.012118
593.000000;-0.012768
592.000000;-0.012507
591.000000;-0.012924
590.000000;-0.013868
589.000000;-0.013220
588.000000;-0.012827
587.000000;-0.013057
586.000000;-0.012748
585.000000;-0.012815
584.000000;-0.013591
583.000000;-0.012184
582.000000;-0.012268
581.000000;-0.013944
580.000000;-0.012613
579.000000;-0.011660
578.000000;-0.012961
577.000000;-0.011382
576.000000;-0.012919
575.000000;-0.012276
574.000000;-0.013809
573.000000;-0.012364
572.000000;-0.011860
571.000000;-0.010765
570.000000;-0.012247
569.000000;-0.012048
568.000000;-0.011330
567.000000;-0.012860
566.000000;-0.011244
565.000000;-0.011139
564.000000;-0.012059
563.000000;-0.011981
562.000000;-0.013215
561.000000;-0.012574
560.000000;-0.010184
559.000000;-0.011399
558.000000;-0.012427
557.000000;-0.010738
556.000000;-0.011480
555.000000;-0.013040
554.000000;-0.011988
553.000000;-0.012019
552.000000;-0.010281
551.000000;-0.010551
550.000000;-0.012244
549.000000;-0.010859
548.000000;-0.010744
547.000000;-0.012793
546.000000;-0.010706
545.000000;-0.010715
544.000000;-0.009889
543.000000;-0.010452
542.000000;-0.010202
541.000000;-0.009001
540.000000;-0.009936
539.000000;-0.009307
538.000000;-0.008783
537.000000;-0.009861
536.000000;-0.009531
535.000000;-0.008387
534.000000;-0.008341
533.000000;-0.008753
532.000000;-0.008364
531.000000;-0.009745
530.000000;-0.010029
529.000000;-0.009961
528.000000;-0.009109
527.000000;-0.008533
526.000000;-0.009030
525.000000;-0.008760
524.000000;-0.008059
523.000000;-0.007892
522.000000;-0.007276
521.000000;-0.007494
520.000000;-0.007126
519.000000;-0.006741
518.000000;-0.006002
517.000000;-0.005543
516.000000;-0.005122
515.000000;-0.005620
514.000000;-0.006170
513.000000;-0.005430
512.000000;-0.004632
511.000000;-0.003756
510.000000;-0.004113
509.000000;-0.003085
508.000000;-0.003135
507.000000;-0.003241
506.000000;-0.002709
505.000000;-0.001505
504.000000;-0.000367
503.000000;-0.000524
502.000000;-0.000022
501.000000;0.001338
500.000000;0.002681
499.000000;0.003015
498.000000;0.003465
497.000000;0.003173
496.000000;0.003959
495.000000;0.005706
494.000000;0.006092
493.000000;0.005848
492.000000;0.006979
491.000000;0.007971
490.000000;0.009358
489.000000;0.010340
488.000000;0.010623
487.000000;0.012075
486.000000;0.012631
485.000000;0.012382
484.000000;0.014562
483.000000;0.016292
482.000000;0.016554
481.000000;0.017850
480.000000;0.018128
479.000000;0.018674
478.000000;0.019750
477.000000;0.020213
476.000000;0.021475
475.000000;0.022947
474.000000;0.024513
473.000000;0.025470
472.000000;0.025795
471.000000;0.026950
470.000000;0.027139
469.000000;0.026990
468.000000;0.028633
467.000000;0.030198
466.000000;0.030701
465.000000;0.032143
464.000000;0.034129
463.000000;0.035187
462.000000;0.036286
461.000000;0.037466
460.000000;0.037590
459.000000;0.038950
458.000000;0.039297
457.000000;0.038937
456.000000;0.039826
455.000000;0.041143
454.000000;0.042740
453.000000;0.043809
452.000000;0.044068
451.000000;0.044220
450.000000;0.044778
449.000000;0.046836
448.000000;0.047033
447.000000;0.046288
446.000000;0.048000
445.000000;0.047661
444.000000;0.047495
443.000000;0.048499
442.000000;0.048764
441.000000;0.049099
440.000000;0.048010
439.000000;0.047456
438.000000;0.047940
437.000000;0.049285
436.000000;0.049887
435.000000;0.048284
434.000000;0.048842
433.000000;0.048622
432.000000;0.047758
431.000000;0.048011
430.000000;0.047655
429.000000;0.047663
428.000000;0.047409
427.000000;0.046544
426.000000;0.045773
425.000000;0.045073
424.000000;0.045042
423.000000;0.044997
422.000000;0.044863
421.000000;0.043541
420.000000;0.042697
419.000000;0.042739
418.000000;0.041016
417.000000;0.038814
416.000000;0.039222
415.000000;0.039140
414.000000;0.037665
413.000000;0.037049
412.000000;0.035664
411.000000;0.034548
410.000000;0.032822
409.000000;0.032039
408.000000;0.031036
407.000000;0.030763
406.000000;0.030020
405.000000;0.027435
404.000000;0.026662
403.000000;0.026237
402.000000;0.025110
401.000000;0.024429
400.000000;0.024189
399.000000;0.022405
398.000000;0.022761
397.000000;0.024452
396.000000;0.022963
395.000000;0.021819
394.000000;0.021070
393.000000;0.020041
392.000000;0.018989
391.000000;0.019334
390.000000;0.019822
389.000000;0.018831
388.000000;0.020864
387.000000;0.021786
386.000000;0.024006
385.000000;0.026018
384.000000;0.030607
383.000000;0.034511
382.000000;0.040350
381.000000;0.047222
380.000000;0.057244
379.000000;0.066365
378.000000;0.086477
377.000000;0.106390
376.000000;0.114117
375.000000;0.134706
374.000000;0.164871
373.000000;0.190852
372.000000;0.215236
371.000000;0.249105
370.000000;0.283292
369.000000;0.315087
368.000000;0.348172
367.000000;0.382370
366.000000;0.417005
365.000000;0.450860
364.000000;0.481345
