nm;A
600.000000;0.029858
599.000000;0.030215
598.000000;0.029905
597.000000;0.029963
596.000000;0.030203
595.000000;0.030070
594.000000;0.030159
593.000000;0.029943
592.000000;0.029925
591.000000;0.030178
590.000000;0.029951
589.000000;0.029903
588.000000;0.029930
587.000000;0.029838
586.000000;0.029997
585.000000;0.030027
584.000000;0.030226
583.000000;0.030016
582.000000;0.030304
581.000000;0.030139
580.000000;0.030283
579.000000;0.030159
578.000000;0.030149
577.000000;0.030197
576.000000;0.030176
575.000000;0.029980
574.000000;0.030167
573.000000;0.030292
572.000000;0.030170
571.000000;0.030045
570.000000;0.030087
569.000000;0.030098
568.000000;0.030154
567.000000;0.030192
566.000000;0.030233
565.000000;0.029984
564.000000;0.030193
563.000000;0.030323
562.000000;0.030153
561.000000;0.030343
560.000000;0.030342
559.000000;0.030069
558.000000;0.030267
557.000000;0.030364
556.000000;0.030409
555.000000;0.030383
554.000000;0.030326
553.000000;0.030262
552.000000;0.030332
551.000000;0.030264
550.000000;0.030294
549.000000;0.030438
548.000000;0.030635
547.000000;0.030444
546.000000;0.030475
545.000000;0.030484
544.000000;0.030519
543.000000;0.030491
542.000000;0.030430
541.000000;0.030409
540.000000;0.030486
539.000000;0.030663
538.000000;0.030495
537.000000;0.030296
536.000000;0.030389
535.000000;0.030503
534.000000;0.030486
533.000000;0.030576
532.000000;0.030557
531.000000;0.030508
530.000000;0.030475
529.000000;0.030669
528.000000;0.030578
527.000000;0.030441
526.000000;0.030494
525.000000;0.030485
524.000000;0.030497
523.000000;0.030560
522.000000;0.030584
521.000000;0.030600
520.000000;0.030610
519.000000;0.030744
518.000000;0.030756
517.000000;0.030626
516.000000;0.030570
515.000000;0.030628
514.000000;0.030697
513.000000;0.030670
512.000000;0.030653
511.000000;0.030636
510.000000;0.030614
509.000000;0.030710
508.000000;0.030743
507.000000;0.030639
506.000000;0.030700
505.000000;0.030671
504.000000;0.030704
503.000000;0.030838
502.000000;0.030734
501.000000;0.030687
500.000000;0.030654
499.000000;0.030670
498.000000;0.030748
497.000000;0.030697
496.000000;0.030600
495.000000;0.030692
494.000000;0.030837
493.000000;0.030871
492.000000;0.030852
491.000000;0.030765
490.000000;0.030776
489.000000;0.030776
488.000000;0.030888
487.000000;0.030938
486.000000;0.030856
485.000000;0.031001
484.000000;0.031074
483.000000;0.031006
482.000000;0.030834
481.000000;0.030772
480.000000;0.030937
479.000000;0.031007
478.000000;0.030981
477.000000;0.030948
476.000000;0.031108
475.000000;0.031253
474.000000;0.031222
473.000000;0.031173
472.000000;0.031212
471.000000;0.031244
470.000000;0.031261
469.000000;0.031332
468.000000;0.031345
467.000000;0.031279
466.000000;0.031259
465.000000;0.031252
464.000000;0.031288
463.000000;0.031342
462.000000;0.031362
461.000000;0.031277
460.000000;0.031342
459.000000;0.031419
458.000000;0.031401
457.000000;0.031451
456.000000;0.031618
455.000000;0.031645
454.000000;0.031657
453.000000;0.031745
452.000000;0.031747
451.000000;0.031649
450.000000;0.031522
449.000000;0.031779
448.000000;0.031834
447.000000;0.031731
446.000000;0.031615
445.000000;0.031728
444.000000;0.031697
443.000000;0.032029
442.000000;0.032165
441.000000;0.031998
440.000000;0.031903
439.000000;0.031844
438.000000;0.032061
437.000000;0.031968
436.000000;0.031906
435.000000;0.031994
434.000000;0.032156
433.000000;0.031995
432.000000;0.032146
431.000000;0.032092
430.000000;0.032088
429.000000;0.032105
428.000000;0.032092
427.000000;0.032206
426.000000;0.032625
425.000000;0.032621
424.000000;0.032256
423.000000;0.032038
422.000000;0.032189
421.000000;0.032272
420.000000;0.032151
419.000000;0.032316
418.000000;0.032424
417.000000;0.032659
416.000000;0.032339
415.000000;0.032456
414.000000;0.032517
413.000000;0.032426
412.000000;0.032515
411.000000;0.032522
410.000000;0.032638
409.000000;0.032674
408.000000;0.032829
407.000000;0.032547
406.000000;0.032816
405.000000;0.033053
404.000000;0.032967
403.000000;0.033024
402.000000;0.033103
401.000000;0.033209
400.000000;0.033171
399.000000;0.032983
398.000000;0.033261
397.000000;0.033075
396.000000;0.033180
395.000000;0.033372
394.000000;0.033437
393.000000;0.033625
392.000000;0.033797
391.000000;0.033557
390.000000;0.033878
389.000000;0.033603
388.000000;0.033494
387.000000;0.033996
386.000000;0.034126
385.000000;0.033912
384.000000;0.033739
383.000000;0.033804
382.000000;0.034121
381.000000;0.034264
380.000000;0.034148
379.000000;0.034340
378.000000;0.034520
377.000000;0.035673
376.000000;0.034186
375.000000;0.034894
374.000000;0.034406
373.000000;0.035586
372.000000;0.036422
371.000000;0.036079
370.000000;0.036206
369.000000;0.036391
368.000000;0.036538
367.000000;0.036834
366.000000;0.036249
365.000000;0.037285
364.000000;0.037398
363.000000;0.038213
362.000000;0.037635
361.000000;0.037988
360.000000;0.038910
359.000000;0.039133
358.000000;0.039430
357.000000;0.040346
356.000000;0.040570
355.000000;0.041478
354.000000;0.041590
353.000000;0.042440
352.000000;0.042655
351.000000;0.044228
350.000000;0.044357
349.000000;0.045679
348.000000;0.047374
347.000000;0.046646
346.000000;0.048195
345.000000;0.049553
344.000000;0.049734
343.000000;0.050523
342.000000;0.051506
341.000000;0.053203
340.000000;0.053098
339.000000;0.055569
338.000000;0.056083
337.000000;0.057286
336.000000;0.059179
335.000000;0.061393
334.000000;0.062566
333.000000;0.064531
332.000000;0.065798
331.000000;0.068161
330.000000;0.071376
329.000000;0.074738
328.000000;0.077008
327.000000;0.080919
326.000000;0.085837
325.000000;0.091354
324.000000;0.096604
323.000000;0.104867
322.000000;0.111537
321.000000;0.122680
320.000000;0.132702
