nm;A
600.000000;0.033948
599.000000;0.034247
598.000000;0.034314
597.000000;0.033915
596.000000;0.034216
595.000000;0.033792
594.000000;0.033952
593.000000;0.034079
592.000000;0.034349
591.000000;0.034077
590.000000;0.034000
589.000000;0.034105
588.000000;0.033791
587.000000;0.033984
586.000000;0.034097
585.000000;0.034119
584.000000;0.034199
583.000000;0.034377
582.000000;0.034046
581.000000;0.034084
580.000000;0.034156
579.000000;0.033895
578.000000;0.034396
577.000000;0.034155
576.000000;0.034186
575.000000;0.034457
574.000000;0.034184
573.000000;0.034153
572.000000;0.034291
571.000000;0.034509
570.000000;0.034460
569.000000;0.034317
568.000000;0.034094
567.000000;0.033945
566.000000;0.034187
565.000000;0.034127
564.000000;0.034110
563.000000;0.034252
562.000000;0.034168
561.000000;0.034298
560.000000;0.034210
559.000000;0.034315
558.000000;0.034507
557.000000;0.034364
556.000000;0.034122
555.000000;0.034268
554.000000;0.034340
553.000000;0.034508
552.000000;0.034396
551.000000;0.034425
550.000000;0.034265
549.000000;0.034507
548.000000;0.034445
547.000000;0.034394
546.000000;0.034668
545.000000;0.034356
544.000000;0.034597
543.000000;0.034583
542.000000;0.034432
541.000000;0.034663
540.000000;0.034466
539.000000;0.034641
538.000000;0.034640
537.000000;0.034637
536.000000;0.034399
535.000000;0.034613
534.000000;0.034765
533.000000;0.034784
532.000000;0.034502
531.000000;0.034614
530.000000;0.034647
529.000000;0.034552
528.000000;0.034626
527.000000;0.034534
526.000000;0.034583
525.000000;0.034601
524.000000;0.034556
523.000000;0.034451
522.000000;0.034654
521.000000;0.034645
520.000000;0.034635
519.000000;0.034651
518.000000;0.034551
517.000000;0.034609
516.000000;0.034676
515.000000;0.034732
514.000000;0.034768
513.000000;0.034771
512.000000;0.034776
511.000000;0.034891
510.000000;0.034762
509.000000;0.034801
508.000000;0.034819
507.000000;0.034916
506.000000;0.034641
505.000000;0.034723
504.000000;0.034697
503.000000;0.034751
502.000000;0.034706
501.000000;0.034566
500.000000;0.034614
499.000000;0.034668
498.000000;0.035057
497.000000;0.035160
496.000000;0.035179
495.000000;0.035088
494.000000;0.034964
493.000000;0.034951
492.000000;0.034869
491.000000;0.034874
490.000000;0.034906
489.000000;0.034835
488.000000;0.034786
487.000000;0.034848
486.000000;0.034872
485.000000;0.035001
484.000000;0.035026
483.000000;0.035076
482.000000;0.035122
481.000000;0.034884
480.000000;0.034746
479.000000;0.034852
478.000000;0.034863
477.000000;0.035112
476.000000;0.035159
475.000000;0.034913
474.000000;0.034974
473.000000;0.035053
472.000000;0.035030
471.000000;0.035126
470.000000;0.035258
469.000000;0.035237
468.000000;0.035136
467.000000;0.035046
466.000000;0.035171
465.000000;0.035258
464.000000;0.035245
463.000000;0.035246
462.000000;0.035232
461.000000;0.035269
460.000000;0.035245
459.000000;0.035311
458.000000;0.035275
457.000000;0.035221
456.000000;0.035186
455.000000;0.035182
454.000000;0.035235
453.000000;0.035132
452.000000;0.035014
451.000000;0.034940
450.000000;0.035311
449.000000;0.035489
448.000000;0.035435
447.000000;0.035296
446.000000;0.035336
445.000000;0.035599
444.000000;0.035679
443.000000;0.035610
442.000000;0.035457
441.000000;0.035334
440.000000;0.035404
439.000000;0.035443
438.000000;0.035399
437.000000;0.035461
436.000000;0.035534
435.000000;0.035540
434.000000;0.035636
433.000000;0.035642
432.000000;0.035638
431.000000;0.035492
430.000000;0.035644
429.000000;0.035996
428.000000;0.035880
427.000000;0.035926
426.000000;0.035915
425.000000;0.035676
424.000000;0.035676
423.000000;0.035880
422.000000;0.035810
421.000000;0.035722
420.000000;0.035902
419.000000;0.036038
418.000000;0.036014
417.000000;0.035905
416.000000;0.035941
415.000000;0.035994
414.000000;0.035916
413.000000;0.035815
412.000000;0.035951
411.000000;0.035906
410.000000;0.036098
409.000000;0.036038
408.000000;0.035876
407.000000;0.036122
406.000000;0.036131
405.000000;0.036304
404.000000;0.036371
403.000000;0.036498
402.000000;0.036463
401.000000;0.036396
