nm;A
600.000000;0.032601
599.000000;0.033135
598.000000;0.032948
597.000000;0.033023
596.000000;0.032965
595.000000;0.032779
594.000000;0.032888
593.000000;0.032770
592.000000;0.033239
591.000000;0.032483
590.000000;0.032873
589.000000;0.032648
588.000000;0.032674
587.000000;0.032987
586.000000;0.033213
585.000000;0.033141
584.000000;0.033366
583.000000;0.033277
582.000000;0.033279
581.000000;0.033006
580.000000;0.033322
579.000000;0.033072
578.000000;0.033408
577.000000;0.033366
576.000000;0.033564
575.000000;0.033468
574.000000;0.033651
573.000000;0.033499
572.000000;0.033848
571.000000;0.033887
570.000000;0.033971
569.000000;0.033829
568.000000;0.033752
567.000000;0.033602
566.000000;0.033760
565.000000;0.033758
564.000000;0.033955
563.000000;0.033949
562.000000;0.034390
561.000000;0.034285
560.000000;0.034361
559.000000;0.034594
558.000000;0.034525
557.000000;0.034725
556.000000;0.034835
555.000000;0.034754
554.000000;0.034943
553.000000;0.035123
552.000000;0.035292
551.000000;0.035272
550.000000;0.035525
549.000000;0.035541
548.000000;0.035650
547.000000;0.035872
546.000000;0.036212
545.000000;0.036326
544.000000;0.036485
543.000000;0.036782
542.000000;0.036899
541.000000;0.037069
540.000000;0.037368
539.000000;0.037567
538.000000;0.037764
537.000000;0.037925
536.000000;0.038136
535.000000;0.038373
534.000000;0.038764
533.000000;0.039222
532.000000;0.039320
531.000000;0.039727
530.000000;0.040118
529.000000;0.040435
528.000000;0.040792
527.000000;0.041078
526.000000;0.041592
525.000000;0.041980
524.000000;0.042346
523.000000;0.042701
522.000000;0.043402
521.000000;0.043812
520.000000;0.044178
519.000000;0.044613
518.000000;0.045310
517.000000;0.045942
516.000000;0.046518
515.000000;0.047056
514.000000;0.047820
513.000000;0.048536
512.000000;0.049100
511.000000;0.049818
510.000000;0.050545
509.000000;0.051301
508.000000;0.052078
507.000000;0.052939
506.000000;0.053583
505.000000;0.054567
504.000000;0.055406
503.000000;0.056307
502.000000;0.057240
501.000000;0.058101
500.000000;0.059037
499.000000;0.059926
498.000000;0.061352
497.000000;0.062631
496.000000;0.063525
495.000000;0.064635
494.000000;0.065600
493.000000;0.066697
492.000000;0.067873
491.000000;0.069390
490.000000;0.070528
489.000000;0.071637
488.000000;0.072964
487.000000;0.074444
486.000000;0.075675
485.000000;0.077246
484.000000;0.078471
483.000000;0.079719
482.000000;0.081162
481.000000;0.082602
480.000000;0.083968
479.000000;0.085389
478.000000;0.086790
477.000000;0.088423
476.000000;0.089970
475.000000;0.091076
474.000000;0.092414
473.000000;0.094048
472.000000;0.095434
471.000000;0.096723
470.000000;0.098276
469.000000;0.099719
468.000000;0.100981
467.000000;0.102192
466.000000;0.103600
465.000000;0.104887
464.000000;0.106092
463.000000;0.107337
462.000000;0.108578
461.000000;0.109660
460.000000;0.110454
459.000000;0.111427
458.000000;0.112515
457.000000;0.113455
456.000000;0.114380
455.000000;0.115067
454.000000;0.115619
453.000000;0.116452
452.000000;0.117084
451.000000;0.117394
450.000000;0.117825
449.000000;0.118405
448.000000;0.118714
447.000000;0.118730
446.000000;0.118984
445.000000;0.119092
444.000000;0.118937
443.000000;0.118794
442.000000;0.118498
441.000000;0.118128
440.000000;0.117829
439.000000;0.117372
438.000000;0.116709
437.000000;0.115959
436.000000;0.115144
435.000000;0.114385
434.000000;0.113607
433.000000;0.112659
432.000000;0.111490
431.000000;0.110387
430.000000;0.109293
429.000000;0.108037
428.000000;0.106653
427.000000;0.105234
426.000000;0.103909
425.000000;0.102373
424.000000;0.100841
423.000000;0.099337
422.000000;0.097519
421.000000;0.095892
420.000000;0.094640
419.000000;0.093130
418.000000;0.091420
417.000000;0.089777
416.000000;0.088162
415.000000;0.086299
414.000000;0.084800
413.000000;0.083272
412.000000;0.081654
411.000000;0.080323
410.000000;0.078892
409.000000;0.077315
408.000000;0.075938
407.000000;0.074760
406.000000;0.073656
405.000000;0.072547
404.000000;0.071781
403.000000;0.070961
402.000000;0.069695
401.000000;0.068836
400.000000;0.068192
399.000000;0.067784
398.000000;0.067165
397.000000;0.066301
396.000000;0.066014
395.000000;0.066187
394.000000;0.065710
393.000000;0.065446
392.000000;0.065573
391.000000;0.065938
390.000000;0.066379
389.000000;0.066639
388.000000;0.067178
387.000000;0.067545
386.000000;0.068470
385.000000;0.069297
384.000000;0.070211
383.000000;0.071423
382.000000;0.072293
381.000000;0.073043
380.000000;0.074266
379.000000;0.076153
378.000000;0.076876
377.000000;0.076960
376.000000;0.078085
375.000000;0.079275
374.000000;0.079289
373.000000;0.079125
372.000000;0.079764
371.000000;0.080341
370.000000;0.080714
369.000000;0.081510
368.000000;0.082710
367.000000;0.083201
366.000000;0.084363
365.000000;0.084621
364.000000;0.086398
363.000000;0.087292
362.000000;0.088268
361.000000;0.089992
360.000000;0.091958
359.000000;0.093416
358.000000;0.094890
357.000000;0.097305
356.000000;0.098312
355.000000;0.100682
354.000000;0.103058
353.000000;0.105485
352.000000;0.107274
351.000000;0.110070
350.000000;0.113054
349.000000;0.116611
348.000000;0.120133
347.000000;0.124772
346.000000;0.129258
345.000000;0.132914
344.000000;0.138682
343.000000;0.143781
342.000000;0.148948
341.000000;0.154304
340.000000;0.161177
339.000000;0.166947
338.000000;0.173500
337.000000;0.180187
336.000000;0.186805
335.000000;0.193123
334.000000;0.201053
333.000000;0.208561
332.000000;0.216558
331.000000;0.222860
330.000000;0.231239
329.000000;0.238776
328.000000;0.245844
327.000000;0.253458
326.000000;0.261780
325.000000;0.269019
324.000000;0.276447
323.000000;0.283807
322.000000;0.290127
321.000000;0.297526
320.000000;0.302772
319.000000;0.308961
318.000000;0.313512
317.000000;0.319277
316.000000;0.322775
315.000000;0.325666
314.000000;0.329282
313.000000;0.331795
312.000000;0.332956
311.000000;0.333878
310.000000;0.334983
309.000000;0.333814
308.000000;0.333838
307.000000;0.332085
306.000000;0.330505
305.000000;0.327503
304.000000;0.325539
303.000000;0.321337
302.000000;0.318011
301.000000;0.315445
300.000000;0.309929
299.000000;0.306287
298.000000;0.300706
297.000000;0.296957
296.000000;0.293481
295.000000;0.287850
294.000000;0.282230
293.000000;0.278771
292.000000;0.273623
291.000000;0.267933
290.000000;0.262614
289.000000;0.257358
288.000000;0.252519
287.000000;0.247358
286.000000;0.241758
285.000000;0.237258
284.000000;0.231230
283.000000;0.227699
282.000000;0.223047
281.000000;0.218999
280.000000;0.215132
279.000000;0.212178
278.000000;0.209466
277.000000;0.207732
276.000000;0.206445
275.000000;0.206585
274.000000;0.207417
273.000000;0.208945
272.000000;0.212503
271.000000;0.217081
270.000000;0.223400
269.000000;0.228799
268.000000;0.236117
267.000000;0.244731
266.000000;0.253399
265.000000;0.262935
264.000000;0.272699
263.000000;0.283397
262.000000;0.294280
261.000000;0.305519
260.000000;0.316215
259.000000;0.327833
258.000000;0.339601
257.000000;0.351356
256.000000;0.362579
255.000000;0.373039
254.000000;0.382334
253.000000;0.391702
252.000000;0.399288
251.000000;0.407070
250.000000;0.412082
