nm;A
550.000000;0.032092
549.000000;0.032241
548.000000;0.032209
547.000000;0.032291
546.000000;0.032185
545.000000;0.032422
544.000000;0.032558
543.000000;0.032608
542.000000;0.032363
541.000000;0.032643
540.000000;0.032838
539.000000;0.032766
538.000000;0.032999
537.000000;0.032907
536.000000;0.033152
535.000000;0.033106
534.000000;0.033038
533.000000;0.033261
532.000000;0.033469
531.000000;0.033384
530.000000;0.033715
529.000000;0.033772
528.000000;0.033847
527.000000;0.034079
526.000000;0.034280
525.000000;0.034395
524.000000;0.034325
523.000000;0.034583
522.000000;0.034718
521.000000;0.034864
520.000000;0.035090
519.000000;0.035271
518.000000;0.035366
517.000000;0.035632
516.000000;0.035839
515.000000;0.036070
514.000000;0.036335
513.000000;0.036521
512.000000;0.036825
511.000000;0.036926
510.000000;0.037099
509.000000;0.037357
508.000000;0.037778
507.000000;0.038027
506.000000;0.038396
505.000000;0.038556
504.000000;0.039076
503.000000;0.039284
502.000000;0.039539
501.000000;0.039982
500.000000;0.040358
499.000000;0.040675
498.000000;0.041129
497.000000;0.041334
496.000000;0.041967
495.000000;0.042495
494.000000;0.042691
493.000000;0.043094
492.000000;0.043568
491.000000;0.044040
490.000000;0.044418
489.000000;0.045065
488.000000;0.045678
487.000000;0.046117
486.000000;0.046431
485.000000;0.047213
484.000000;0.047698
483.000000;0.048312
482.000000;0.048790
481.000000;0.049535
480.000000;0.050343
479.000000;0.050733
478.000000;0.051158
477.000000;0.051804
476.000000;0.052390
475.000000;0.052889
474.000000;0.053639
473.000000;0.054324
472.000000;0.054967
471.000000;0.055640
470.000000;0.056385
469.000000;0.056889
468.000000;0.057519
467.000000;0.058346
466.000000;0.058817
465.000000;0.059512
464.000000;0.060156
463.000000;0.060818
462.000000;0.061418
461.000000;0.062141
460.000000;0.062896
459.000000;0.063471
458.000000;0.064122
457.000000;0.064757
456.000000;0.065255
455.000000;0.065921
454.000000;0.066521
453.000000;0.067091
452.000000;0.067848
451.000000;0.068118
450.000000;0.068433
449.000000;0.068950
448.000000;0.069697
447.000000;0.070224
446.000000;0.070415
445.000000;0.070958
444.000000;0.071219
443.000000;0.071910
442.000000;0.072337
441.000000;0.072516
440.000000;0.072651
439.000000;0.072817
438.000000;0.073119
437.000000;0.073329
436.000000;0.073416
435.000000;0.073438
434.000000;0.073500
433.000000;0.073508
432.000000;0.073359
431.000000;0.073283
430.000000;0.073332
429.000000;0.073090
428.000000;0.072894
