nm;A
550.000000;0.032285
549.000000;0.032405
548.000000;0.032519
547.000000;0.032560
546.000000;0.032572
545.000000;0.032660
544.000000;0.032913
543.000000;0.032879
542.000000;0.032664
541.000000;0.032926
540.000000;0.033061
539.000000;0.033049
538.000000;0.033210
537.000000;0.033248
536.000000;0.033240
535.000000;0.033393
534.000000;0.033326
533.000000;0.033414
532.000000;0.033600
531.000000;0.033536
530.000000;0.033759
529.000000;0.034001
528.000000;0.034015
527.000000;0.034234
526.000000;0.034401
525.000000;0.034395
524.000000;0.034323
523.000000;0.034752
522.000000;0.034883
521.000000;0.035109
520.000000;0.035290
519.000000;0.035409
518.000000;0.035671
517.000000;0.035629
516.000000;0.036050
515.000000;0.036162
514.000000;0.036437
513.000000;0.036656
512.000000;0.036881
511.000000;0.037060
510.000000;0.037346
509.000000;0.037660
508.000000;0.037854
507.000000;0.038256
506.000000;0.038402
505.000000;0.038680
504.000000;0.039143
503.000000;0.039283
502.000000;0.039677
501.000000;0.040068
500.000000;0.040216
499.000000;0.040698
498.000000;0.041206
497.000000;0.041429
496.000000;0.041859
495.000000;0.042178
494.000000;0.042524
493.000000;0.043258
492.000000;0.043352
491.000000;0.043731
490.000000;0.044321
489.000000;0.044764
488.000000;0.044959
487.000000;0.045368
486.000000;0.045682
485.000000;0.046591
484.000000;0.046787
483.000000;0.047274
482.000000;0.047803
481.000000;0.048221
480.000000;0.048814
479.000000;0.049160
478.000000;0.049527
477.000000;0.050100
476.000000;0.050440
475.000000;0.050900
474.000000;0.051452
473.000000;0.052016
472.000000;0.052584
471.000000;0.052929
470.000000;0.053521
469.000000;0.053916
468.000000;0.054296
467.000000;0.054791
466.000000;0.055176
465.000000;0.055615
464.000000;0.056046
463.000000;0.056598
462.000000;0.056952
461.000000;0.057494
460.000000;0.057838
459.000000;0.058046
458.000000;0.058623
457.000000;0.058916
456.000000;0.059354
455.000000;0.059540
454.000000;0.059784
453.000000;0.060283
452.000000;0.060933
451.000000;0.060946
450.000000;0.061001
449.000000;0.061222
448.000000;0.061444
447.000000;0.061789
446.000000;0.061969
445.000000;0.062101
444.000000;0.062321
443.000000;0.062572
442.000000;0.062836
441.000000;0.062872
440.000000;0.062873
439.000000;0.062672
438.000000;0.062964
437.000000;0.062867
436.000000;0.062769
435.000000;0.062678
434.000000;0.062531
433.000000;0.062357
432.000000;0.062350
431.000000;0.062274
430.000000;0.062204
429.000000;0.061939
428.000000;0.061717
427.000000;0.061667
426.000000;0.061334
425.000000;0.060779
424.000000;0.060547
423.000000;0.060400
422.000000;0.060076
421.000000;0.059581
420.000000;0.059152
419.000000;0.058729
418.000000;0.058402
417.000000;0.058081
416.000000;0.057658
415.000000;0.057135
414.000000;0.056301
413.000000;0.055811
412.000000;0.055714
411.000000;0.055189
410.000000;0.054611
409.000000;0.053820
408.000000;0.053216
407.000000;0.052914
406.000000;0.052516
405.000000;0.052029
404.000000;0.051405
403.000000;0.050905
402.000000;0.050519
401.000000;0.050127
400.000000;0.049552
399.000000;0.048798
398.000000;0.048215
397.000000;0.047798
396.000000;0.047294
395.000000;0.046657
394.000000;0.045987
393.000000;0.045860
392.000000;0.045320
391.000000;0.044698
390.000000;0.044512
389.000000;0.043887
388.000000;0.043358
387.000000;0.042920
386.000000;0.042642
385.000000;0.042491
384.000000;0.042537
383.000000;0.042527
382.000000;0.041860
381.000000;0.041649
380.000000;0.041355
379.000000;0.041214
378.000000;0.041557
377.000000;0.041642
376.000000;0.041831
375.000000;0.041566
374.000000;0.041201
373.000000;0.041127
372.000000;0.041518
371.000000;0.042415
370.000000;0.042663
369.000000;0.042736
368.000000;0.044233
367.000000;0.046235
366.000000;0.047975
365.000000;0.050908
364.000000;0.054757
