nm;A
550.000000;0.034459
549.000000;0.035242
548.000000;0.035114
547.000000;0.035356
546.000000;0.035363
545.000000;0.035123
544.000000;0.035561
543.000000;0.035449
542.000000;0.035155
541.000000;0.035377
540.000000;0.035656
539.000000;0.035619
538.000000;0.035854
537.000000;0.035818
536.000000;0.035925
535.000000;0.035880
534.000000;0.035906
533.000000;0.036158
532.000000;0.036334
531.000000;0.036114
530.000000;0.036467
529.000000;0.036553
528.000000;0.036670
527.000000;0.036851
526.000000;0.036998
525.000000;0.037254
524.000000;0.037199
523.000000;0.037385
522.000000;0.037468
521.000000;0.037862
520.000000;0.038040
519.000000;0.038031
518.000000;0.038431
517.000000;0.038739
516.000000;0.038901
515.000000;0.039193
514.000000;0.039354
513.000000;0.039501
512.000000;0.039890
511.000000;0.040050
510.000000;0.040325
509.000000;0.040595
508.000000;0.040821
507.000000;0.041224
506.000000;0.041594
505.000000;0.041756
504.000000;0.042144
503.000000;0.042544
502.000000;0.042931
501.000000;0.043220
500.000000;0.043472
499.000000;0.044099
498.000000;0.044448
497.000000;0.044796
496.000000;0.045464
495.000000;0.045907
494.000000;0.046075
493.000000;0.046877
492.000000;0.047442
491.000000;0.047940
490.000000;0.048369
489.000000;0.048931
488.000000;0.049539
487.000000;0.050014
486.000000;0.050376
485.000000;0.051259
484.000000;0.051780
483.000000;0.052517
482.000000;0.053135
481.000000;0.053946
480.000000;0.054808
479.000000;0.055354
478.000000;0.056022
477.000000;0.056898
476.000000;0.057721
475.000000;0.058264
474.000000;0.059046
473.000000;0.060088
472.000000;0.060946
471.000000;0.061603
470.000000;0.062697
469.000000;0.063517
468.000000;0.064275
467.000000;0.065200
466.000000;0.066103
465.000000;0.067127
464.000000;0.067975
463.000000;0.068836
462.000000;0.069654
461.000000;0.070646
460.000000;0.071709
459.000000;0.072533
458.000000;0.073474
457.000000;0.074304
456.000000;0.075308
455.000000;0.076004
454.000000;0.076955
453.000000;0.077798
452.000000;0.079002
451.000000;0.079629
450.000000;0.080316
449.000000;0.081069
448.000000;0.081744
447.000000;0.082703
446.000000;0.083538
445.000000;0.084306
444.000000;0.084900
443.000000;0.085680
442.000000;0.086254
441.000000;0.086819
440.000000;0.087168
439.000000;0.087659
438.000000;0.088298
437.000000;0.088631
436.000000;0.088877
435.000000;0.089233
434.000000;0.089494
433.000000;0.089541
432.000000;0.089573
431.000000;0.089731
430.000000;0.089720
429.000000;0.089757
428.000000;0.089585
427.000000;0.089393
426.000000;0.089014
425.000000;0.088604
424.000000;0.088234
423.000000;0.087978
422.000000;0.087615
421.000000;0.087075
420.000000;0.086414
419.000000;0.085594
418.000000;0.084887
417.000000;0.084242
416.000000;0.083437
415.000000;0.082338
414.000000;0.081430
413.000000;0.080444
412.000000;0.079612
411.000000;0.078594
410.000000;0.077474
409.000000;0.076191
408.000000;0.075025
407.000000;0.074086
406.000000;0.072872
405.000000;0.071606
404.000000;0.070281
403.000000;0.069211
402.000000;0.068249
401.000000;0.067305
400.000000;0.065982
399.000000;0.064272
398.000000;0.063204
397.000000;0.062206
396.000000;0.060784
395.000000;0.059623
394.000000;0.058546
393.000000;0.057468
392.000000;0.056457
391.000000;0.055541
390.000000;0.054678
389.000000;0.053637
388.000000;0.052691
387.000000;0.051620
386.000000;0.050664
